Institution,Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes
University of Aberdeen,20/01/2015,GJ MacFarlane,CLSM,,,10.1136/rmdopen-2014-000026,"Beasley, M., Prescott, G.J., Scotland, G., McBeth, J., Lovell, K., Keeley, P., Hannaford, P., Symmons, D.P.M., MacDonald, R.I.R., Woby, S., Macfarlane, G.J.M. RMD Open, 2(1) February 2015 e000026",BMJ,RMD Open,,,"Patient reported improvements in health are maintained two years after completing a short course of cognitive behaviour therapy, exercise or both treatments for chronic widespread pain: long term results from the MUSICIAN randomised controlled trial.",,COAF,,,,,,17292,,,20/01/2015,,975,195,GBP,1170,975,195,,,,,,,,
University of Aberdeen,03/07/2015,P Murchie,CLSM,PMC4538247,26251412,,"Peter Murchie, Julia L Allan, William Brant, Matthew Dennis, Susan Hall, Judith Masthoff, Fiona M Walter, Marie Johnston",BMJ,BMJ Open,2044-6055,Journal article/Review (Hybrid journal),Total skin self-examination at home for people treated for cutaneous melanoma: development and pilot of a digital intervention,,RCUK,,,,,,EP/G066051/1,,,20/07/2015,1620,1350,270,GBP,,,,,Pre-payment discount,,1620,CC BY,,,
University of Aberdeen,01/08/2015,G  Brown,CLSM,,,,,BMJ,Annals of the Rheumatic Diseases,,,MICL controls inflammation in rheumatoid arthritis,,COAF,,,,,,086558 & 102705,,,28/07/2015,,,,GBP,2340,1950,390,,,,,,,,
University of Aberdeen,10/11/2015,M Black,Applied Health,,,,,BMJ,BMJ Open,,,Vaginal birth after caesarean section: why is uptake so low? Insights from a meta-ethnographic synthesis of women's accounts of their birth choices.,,COAF,,,,,,AS005 RGB4133,,,10/11/2015,,1350,270,GBP,1620,,,,Pre-payment discount,,,,,,
University of Aberdeen,02/07/2015,T Kubota,CLSM,PMC4534484,26212319,10.1016/j.celrep.2015.06.066,"Takashi Kubota, Yuki Katou, Ryuichiro Nakato, Katsuhiko Shirahage, Anne Donaldson",Cell Press,Cell Reports,2211-1247,Journal article/Review (Hybrid journal),Replication coupled PCNA unloading by the Elg1 complex occurs genome wide and requires Okazaki fragment ligation,23/07/2015,RCUK,,,MRC,,,l019698/1,,,08/07/2015,,5000,,USD,3268,,,,Pre-payment discount,,3268,CC BY,,,
University of Aberdeen,01/02/2015,G.Brown,CLSM,PMC4334100,25674984,10.1016/j.chom.2015.01.004,"Wilson, G.J., Marakalala, M.J., Hoving, J.C., van Laarhoven, A., Drummond, R.A., Kerscher, B., Keeton, R., van de Vosse, E., Ottenhoff, T.H., Plantinga, T.S., Alisjahbana, B., Govender, D., Besra, G.S., Netea, M.G., Reid, D.M., Willment, J.A., Jacobs, M., Yamasaki, S., van Crevel, R., Brown, G,D.",Cell Press,Cell Host & Microbe,1931-3128,Journal article/Review (Hybrid journal),The C-Type Lectin Receptor CLECSF8/CLEC4D Is a Key Component of Anti-Mycobacterial Immunity.,11/02/2015,RCUK,,,MRC,,,RG10273-10,,,19/02/2015,,438.91,,EUR,317.85,,,,Pre-payment discount,,317.85,CC BY,,,
University of Aberdeen,04/03/2015,N Reiber,CLSM,,,,,Cell Press,Cell Host & Microbe,,,Pathogenic fungi regulate immunity by inducing neutrophilic,,COAF,,,,,,11270716,,,04/03/2015,,4429.5,,EUR,,3472.89,,,Pre-payment discount,,,,,,Reverse VAT reported
University of Aberdeen,01/07/2015,T Rasmussen,CLSM,,,,,Cell Press,Structure,,,The structure of Ynal implies structural and mechanistic conservation in the MscS-family of mechanosensitive channels,,COAF,,,,,,WT092552/A/10/Z,,,,,4483.1,,EUR,,,,,,,,,,,Reverse VAT reported
University of Aberdeen,30/06/2015,A Roberts,CLSM,,26336996,10.3402/qhw.v10.27536,"ANNE ROBERTS, , LORNA PHILIP, MARGARET CURRIE, & ALASDAIR MORT,",Co-Action Publishing,International Journal of Qualitative Studies on Health and Wellbeing,,Journal article/Review (Hybrid journal),Striking a balance between in -person care and the deployment of eHealth to support the older Rural Population with Chronic Pain,02/09/2015,RCUK,,,,,,EP/G066051/1 (dot.rural),,,06/07/2015,,971,,EUR,697.72,,,,Pre-payment discount,,697.72,CC BY,,,
University of Aberdeen,13/04/2015,W Pang,COPS,PMC4441110,25864377,10.1016/j.biosystems.2015.04.003,"W.Pang, G.Coghill",Elsevier,Biosystems,0303-2647,Journal article/Review (Hybrid journal),"Qualitative, semi-quantitative, and quantitative simulation of the osmoregulation system in yeast",09/04/2015,RCUK,,,,,,BB/F00513X,,,29/04/2015,,1913.54,,EUR,1391.68,,,,Pre-payment discount,,1391.68,CC BY,,,
University of Aberdeen,14/07/2015,I Booth,CLSM,,25591932,10.1016/j.ceca.2014.12.011,"Ian Booth, Sam Miller, Axel Mueller and Laura Lehtovirta-Morley",Elsevier,Cell Calcium,0143-4160,Journal article/Review (Full OA journal),The evolution of bacterial mechanosenstive channels,25/12/2015,RCUK,COAF,NIH,,,,NE/I027835/1,092552/A/10/Z,RG10991-10,06/02/2015,,2394.06,,EUR,,1728.63,,,Pre-payment discount,,1728.63,CC BY,,,
University of Aberdeen,08/01/2015,G Btrown,CLSM,,25553393,10.1016/j.coi.2014.12.002,"Dambuza, I.M., Brown, G.D. Current Opinion in Immunology, 32C Febeuary 2015 p. 21-27",Elsevier,Current Opinion in Immunology,,,C-type lectins in immunity: Recent Developments,,COAF,,,,,,102705,,,09/01/2015,,3591.1,,EUR,,2815.56,,,Pre-payment discount,,,,,,Reverse VAT reported
University of Aberdeen,01/01/2015,J Kenter,CLSM,,,10.1016/j.ecolecon.2015.01.006,"Kenter, J.O., O'Brien, L., Hockley, N., Ravenscroft, N., Fazey, I., Irvine, K.N.,Reed, M.S., Christie, M., Brady, E., Bryce, R., Church, A., Cooper, N., Davies, A., Evely, A., Everard, M., Rish, R., Fisher, J.A., Jobstvogt, Molloy, C., Orchard-Webb, J., Ranger, S., Ryan, M., Watson, V., Williams, S.",Elsevier,Ecological Economics,0921-8009,Journal article/Review (Hybrid journal),What are shared and social values of ecosystems?,06/02/2015,RCUK,,,,,,UNEP-WCMC 06167.00.E,,,13/02/2015,,3160.16,,EUR,2477.68,,,,Pre-payment discount,,2477.68,CC BY,,,
University of Aberdeen,01/09/2015,Arts/Sripada/Braga/Van der Wal,Biological Sciences,,,10.1016/j.envsci.2015.08.011,,Elsevier,Environmental Science and Policy,,,Environmental communication in the Information Age: Institut…,,RCUK,,,,,,EP/G066051/1   dot.rural,,,,,2689.86,,EUR,,1984.21,,,Pre-payment discount,,,,,,Reverse VAT reported
University of Aberdeen,01/02/2015,H Watkins,COPS,,,10.1016/j.jsg.2015.02.001,"H.Watkins, R.Butler, C.Bond & D.Healy",Elsevier,Journal of Structural Geology,0191-8141,Journal article/Review (Hybrid journal),Appraisal of fracture sampling methods and a new workflow to characterise heteregeneous fracture networks at outcrop,10/02/2015,RCUK,,,NERC,,,NE/I018166/1 (UoA code RG10327-10),,,26/02/2015,,3960,,EUR,3104.79,,,,,,3104.79,CC BY,,,
University of Aberdeen,18/03/2015,H Watkins,COPS,,,10.1016/j.jsg.2015.03.001,"H.Watkins, R.Butler, C.Bond & D.Healy",Elsevier,Journal of Structural Geology,0191-8141,Journal article/Review (Hybrid journal),"Influence of structural position on fracture networks in the Torridon Group, Achnashellach fold and thrust belt, NW Scotland.",10/03/2015,RCUK,,,NERC,,,NE/I018166/1 (UoA code RG10327-10),,,24/03/2015,,3508.16,,EUR,2551.42,,,,,,2551.42,CC BY,,,
University of Aberdeen,19/02/2015,J Rochford,CLSM,PMC4338318,25737955,10.1016/j.molmet.2014.12.013,"Talukder, M.M., Sim, M.F., O'Rahilly, S., Rochford, J.J.",Elsevier,Molecular Metabolism,2212-8778,Journal article/Review (Full OA journal),Seipin oligomers can interact directly with AGPAT2 and lipin,06/01/2015,RCUK,,,MRC,,,"G0800203, MR/L002620/1",,,19/02/2015,,1915.25,,EUR,1386.53,,,,,,1386.53,CC BY,,,
University of Aberdeen,01/11/2015,N Mody,CLSM,,,,,Elsevier,Biochemical Pharmacology,,,"Fenretinide mediated retinoic acid receptor signalling and inhibition of ceramide biosynthesis regulates adipogenesis, lipid accumulation, mitochondrial function and nutrient stress signalling in adipocytes and adipose tissue.",,RCUK,,,,Wellcome Trust,British Heart Foundation,BBSRC Zoology DTG; ISSF 2015 SC02; FS/09/026/27398,,,,,2900.76,,EUR,,2048.14,,,Pre-payment discount,,,,,,Reverse VAT reported
University of Aberdeen,22/09/2015,M Kashtalyan,COPS,,,,,Elsevier,International Journal of Solids and Structures,,,A piecewise Exponential Model For Three-Dimensional Analysis,,RCUK,,,,,,"EP/P503299/1, EP/P503930/1",,,22/09/2015,,2958.85,,EUR,,2150.93,,,Pre-payment discount,,,,,,Reverse VAT reported
University of Aberdeen,14/09/2015,D Beel,,,,,,Elsevier,Journal of Rural Studies,,,Cultural resilience: the production of rural community heritage,,RCUK,,,,,,EP/G066051/1,,,15/09/2015,,1936.7,,EUR,,1428.63,,,,,,,,,Reverse VAT reported
University of Aberdeen,10/09/2015,D Healy,Geology & Petroleum Geology,,,,,Elsevier,Journal of Structural Geology,,,Polymodal faulting: Time for a new angle on shear failure,,RCUK,,,,,,,,,10/09/2015,,3550.62,,EUR,,2619.17,,,,,,,,,Reverse VAT reported
University of Aberdeen,06/05/2015,G D'Agostino,CLSM,,,,,Elsevier,Molecular Metabolism,,,Peroxisome proliferator-activated receptor alpha plays a…,,COAF,,,,,,WT098012,,,06/05/2015,,2126.16,,EUR,,1565.13,,,,,,,,,Reverse VAT reported
University of Aberdeen,23/09/2015,J Parnell,COPS,,,,,Geological Society of America,Geology,,,"Enhanced microbial activity in carbon-rich pillow lavas, Ordovician, Great Britain and Ireland",,RCUK,Wellcome Trust,Other,,Wellcome Trust,,IP-1235-0511,,,23/09/2015,,2500,,USD,,1636.21,,,Pre-payment discount,,,,,,Reverse VAT reported
University of Aberdeen,29/10/2015,J Parnell,Geology & Petroleum Geology,,,,,Geological Society of London,Journal of the Geological Society,,,Gold in Devonocarboniferous red beds of Northern Britain,,RCUK,,,,,,NE/L001764/1,,,26/11/2015,,1500,300,GBP,1800,,,,,,,,,,
University of Aberdeen,23/06/2015,J Speakman,CLSM,,26286956,10.18632/oncotarget.4506,"Sharon E. Mitchell, Camille Delville, Penelope Konstantopedos, Davina Derous, Cara L. Green, Luonan Chen, Jing-Dong J. Han, Yingchun Wang, Daniel E.L. Promislow, Alex Douglas, David Lusseau, John R. Speakman",Impact Journals,Oncotarget,1949-2553,Journal article/Review (Full OA journal),The effects of graded levels of calorie restriction: III. Impact of short term calorie and protein restriction on mean daily body temperature and torpor use in the C57BL/6 mouse.,22/07/2015,RCUK,,,,,,BB/00953/1,,,25/06/2015,,2850,,USD,1817.23,,,,,,1817.23,CC BY,,,
University of Aberdeen,03/04/2015,J Speakman,CLSM,,26079539,,"S Mitchell, J Speakman",Impact Journals,Oncotarget,1949-2553,,The effects of graded levels of calorie restriction: I. Impact of short term calorie and protein restriction on body composition in the C57BL/6 mouse’.,,RCUK,,,,,,BB/00953/1,,,10/04/2015,,2850,,USD,1863.04,,,,,,1863.04,,,,
University of Aberdeen,26/11/2015,F Kuepper,Biological Sciences,,,,,Inter-Research,Diseases of Aquatic Organisms,,,New record and phylogenetic affinities of the oomycete Olpidiopsis feldmanni infecting Asparagopsis sp. (Rhodophyta),,RCUK,,,,,,NERC PhD studentship: Kyle Fletcher,,,26/11/2015,,1350,,EUR,,953.19,,,Pre-payment discount,,,,,,Reverse VAT reported
University of Aberdeen,11/08/2015,G Bewick,CLSM,,,,,JoVE,Journal of Visualized Experiments,,,Optical monitoring of living nerve terminal labelling in hair follicle lanceolate endings of the ex vivo mouse ear skin (Article 53855),,RCUK,,,,,,G0601253,,,11/08/2015,,4200,,USD,,2692.84,,,,,,,,,Reverse VAT reported
University of Aberdeen,26/08/2015,G Bewick,CLSM,,,,,JoVE,Journal of Visualized Experiments,,,Combined recording of mechanically stimulated afferent output and nerve terminal labelling in mouse hair follical lanceolate endings (Article 53854),,RCUK,,,,,,,,,,,4200,,USD,,,,,,,,,,,Reverse VAT reported
University of Aberdeen,30/04/2015,A Mort,CLSM,,,,,MA Healthcare,Journal of Paramedic Practice,1387-1307,,Pre-hospital technology research: reflecting on a collaborative project between ambulance service and academia,06/04/2015,RCUK,,,,,,EP/G066051/1,,,,2400,2000,400,GBP,,,,,,,2400,Unknown,,,
University of Aberdeen,26/02/2015,R Howe,COPS,PMC3869273,25741899,10.3390/molecules20034055,"Rhydderch, S., Howe, R.F.",MDPI,Molecules,1420-3049,Journal article/Review (Hybrid journal),In-situ studies of Reaction Pathways in Titania Photocatalyst-Promoted Alkylation of Alkenes.,03/03/2015,RCUK,,,,,,EP/I00372X/1,,,27/02/2015,,1800,,CHF,1196.94,,,,,,1196.94,CC BY,,,
University of Aberdeen,09/07/2015,C Gubry-Rangin,CLSM,PMC4522744,26170282,10.1073/pnas.1419329112,"Cecile Gubry-Rangin, Chritina Kratsch, Tom Williams, Alice McHardy, T.Martin Embley, James Prosser, Daniel McQueen",National Academy of Sciences,Proceedings of the National Academy of Sciences,0027-8424,Journal article/Review (Full OA journal),Coupling of diversification and pH adaptation during the evolution of terrestrial Thaumarchaeota,11/06/2015,RCUK,,,NERC,,,NE/J019151/1,,,17/07/2015,,2500,,USD,1622.43,,,,,,1622.43,CC BY,,,
University of Aberdeen,05/08/2015,D Salt,CLSM,,,,,National Academy of Sciences,Proceedings of the National Academy of Sciences,,,The MYB36 transcription factor orchestrates Casparian strip formation,,RCUK,,,,,,,,,18/08/2015,,2500,,USD,,1602.88,,,,,,,,,Reverse VAT reported
University of Aberdeen,28/05/2015,C Gubry-Rangin,CLSM,,26140533,10.1038/ismej.2015.101,"Eduard Vico Oton, Christopher Quince, Graeme W Nicol, James I Prosser and Cécile Gubry-Rangin",Nature Publishing Group,ISME Journal,,Journal article/Review (Hybrid journal),Phylogenetic congruence and ecological coherence in terrestrial Thaumarchaeota,03/07/2015,RCUK,,,,,,NE/J019151/1,,,26/06/2015,3360,2800,560,GBP,,,,,Pre-payment discount,,3360,CC BY,,,
University of Aberdeen,16/07/2015,D Lusseau,CLSM,PMC4548231,26306002,10.1038/srep13198,"David Lusseau, Sharon Mitchell, Ceres Barros, Davina Derous, Cara Green, Luonan Chen, Jing-Dong Jackie Han, Yingchun Wang, Daniel Promislow, Alex Douglas & John Speakman",Nature Publishing Group,Scientific Reports,2045-2322,Journal article/Review (Full OA journal),The effects of graded levels of calorie restriction: IV. Non-linear change in behavioural phenotype of mice in response to short-term calorie restriction,25/08/2015,RCUK,,,,,,BB/00953/1,,,30/07/2015,1188,990,198,GBP,,,,,,,1188,CC BY,,,
University of Aberdeen,28/08/2015,G Brown,CLSM,,,,,Nature Publishing Group,Mucosal Immunology,,,CD4+ T-cell survival in the GI tract requires Dectin-1 during fungal…,,COAF,,,,,,102705,,,31/08/2015,,2500,500,GBP,3000,,,,,,,,,,
University of Aberdeen,23/10/2015,David Kemp,Geology & Petroleum Geology,,,,,Nature Publishing Group,Nature Communications,,,Maximum rates of climate change are systematically underestimated in the geological record,,RCUK,,,,,,NE/I02089X/1,,,23/10/2015,,3150,630,GBP,3780,3780,,,,,,,,,
University of Aberdeen,28/08/2015,D Mayor,CLSM,,,,,Nature Publishing Group,Scientific Reports,,,The metabolic response of marine copepods to environmental warming and ocean acidification in the absence of food,,RCUK,,,,,,NE/G014744/1,,,31/08/2015,,990,198,GBP,1188,,,,,,,,,,
University of Aberdeen,26/11/2015,C Wang,COPS,,,,,Nature Publishing Group,Scientific Reports,,,One node driving synchronisation,,RCUK,,,,,,EP/I032606/1,,,26/11/2015,,990,198,GBP,1188,,,,,,,,,,
University of Aberdeen,08/09/2015,A MacKenzie,CLSM,,,,,Nature Publishing Group,The Pharmacogenomics Journal,,,Analysis of the effects of depression associated polymorphisms on the activity of the BICC1 promoter in amygdala neurones,,COAF,,,,,,080980/Z/06/Z,,,08/09/2015,,2300,460,GBP,2760,,,,,,,,,,
University of Aberdeen,15/01/2015,E Weber,CLSM,,,10.1093/femsec/fiv001,"Eva B. Weber, Laura E. Lehtovirta-Morley, James I. Prosser, Cécile Gubry-Rangin",Oxford University Press,FEMS Microbiology Ecology,1574-6941,Journal article/Review (Hybrid journal),Ammonia oxidation is not required for growth of Group 1.1c soil,14/01/2015,Institutional,,,,,,PL09 RGA1615,,,20/01/2015,2250,1875,375,GBP,,,,,Pre-payment discount,,0,CC BY,,,
University of Aberdeen,13/02/2015,J Sternberg,CLSM,,24789741,10.1093/trstmh/tru065,"Sternberg, J.M., Mitchell, J.A. Transactions of the Royal Society of Tropical Medicine and Hygiene, 108(7) July 2014 pp 449-452",Oxford University Press,Transactions of the Royal Society of Tropical Medicine and Hygiene,,,Plasma neuronal specific enolase: a potential stage diagnostic marker in human African trypanosomiasis.,,COAF,,,,,,Wellcome 082786,,,16/02/2015,,2000,400,GBP,2400,2000,400,,,,,,,,
University of Aberdeen,08/01/2015,U Stegmann,CASS,,,,,Oxford University Press,British Journal for the Philosophy of Science,,,Genetic coding' reconsidered: an analysis of actual usage,,COAF,,,,,,WT098764MA,,,08/01/2015,,1700,340,GBP,2040,1700,340,,Pre-payment discount,,,,,,
University of Aberdeen,19/06/2015,G Nixon,CLSM,,,,,Oxford University Press,Cardiovascular Research,,,The cAMP-producing agonist beraprost inhibits human vascular smooth muscle cell migration via exchange protein directly activated by cAMP,,COAF,,,,,,FS/11/23/28730,,,19/06/2015,,2000,400,GBP,2400,2000,400,,Pre-payment discount,,,,,,
University of Aberdeen,03/04/2015,S Sawhney,CLSM,,,,,Oxford University Press,Nephrology Dialysis Transplantation,,,Acute kidney injury - how does automated detection perform?,,COAF,,,,,,102729/Z/13/Z,,,03/04/2015,,1750,350,GBP,2100,1750,350,,,,,,,,
University of Aberdeen,10/07/2015,C Antonopoulos,COPS,PMC4552863,26317592,10.1371/journal.pcbi.1004372,"Shambhavi Srivastava, Sandro E. de S. Pinto, Murilo Baptista, Chris Antonopoulos",Public Library of Science,PLOS Computational Biology,1553-734X,Journal article/Review (Hybrid journal),Do Brain Networks Evolve by Maximizing their Information Flow Capacity?,28/08/2015,RCUK,,,EPSRC,,,EP/I032606/1,,,16/07/2015,,2250,,USD,1460.19,,,,,,1460.19,CC BY,,,
University of Aberdeen,19/02/2015,A Ross,RINH,PMC4366045,25789758,10.1371/journal.pone.0119763,"A.Ross, L.Russell, G.Helfer, L.Tomson, M.Dalby, P.Morgan",Public Library of Science,PLOS ONE,1932-6203,Journal article/Review (Hybrid journal),Photoperiod regulates lean mass accretion but not adiposity in growing F344 rats fed a high fat diet.,19/03/2015,RCUK,,,,,,BB/K001043/1,,,19/02/2015,,1350,,USD,883.19,,,,,,883.19,CC BY,,,
University of Aberdeen,16/06/2015,M da Silva Baptista,COPS,PMC4483238,26115356,10.1371/journal.pone.0130762,"Pedro Miranda, Murilo Delgobo, Giovani Favero Marino, Katia Sabrina Paludo, Murilo da Silva Baptista, Sandro Ely de Souza Pinto",Public Library of Science,PLOS ONE,1932-6203,Journal article/Review (Hybrid journal),The oral tolerance as a complex network phenomenon,26/06/2015,RCUK,,,,,,EP/I032606/1,,,16/06/2015,,1350,,USD,888.81,,,,,,888.81,CC BY,,,
University of Aberdeen,26/10/2015,J Sternberg,CLSM,,,,,Public Library of Science,PLOS Neglected Tropical Diseases,,,Central nervous system parasitosis and neuroinflammation ameliorated by systemic IL-10 administration,,COAF,,,,,,82786,,,26/10/2015,,2250,,USD,,1472.59,,,,,,,,,Await Wellcome budget code before reporting reverse VAT
University of Aberdeen,26/10/2015,J Sternberg,CLSM,,,,,Public Library of Science,PLOS Neglected Tropical Diseases,,,Discovery of Infection Associated Metabolic Markers in Human African Trypanosomiasis,,COAF,,,,,,82786,,,16/12/2015,,2250,,USD,,1472.59,,,,,,,,,Await Wellcome budget code before reporting reverse VAT
University of Aberdeen,17/06/2015,S Sawhney,CLSM,,,,,Public Library of Science,PLOS ONE,,,Maximising acute kidney injury alerts - a cross-sectional comparison with the clinical diagnosis,,COAF,,,,,,102729/Z/13/Z,,,17/06/2015,,1350,,USD,,888.81,,,,,,,,,Reverse VAT reported
University of Aberdeen,28/08/2015,G Norton,CLSM,,,,,Public Library of Science,PLOS ONE,,,Biallelic and Genome Wide Association mapping of germanium tolerant loci in rice (Oryza sativa L.),,RCUK,,,,,,BB/J003336/1,,,01/09/2015,,1350,,USD,,865.56,,,,,,,,,Reverse VAT reported
University of Aberdeen,01/09/2015,M C Romano,CLSM,,,,,Public Library of Science,PLOS ONE,,,Integrated model of oxidative stress adaptation,,RCUK,,,,,,BB/F00513X/1,,,,,1350,,USD,,,,,,,,,,,Reverse VAT reported
University of Aberdeen,01/09/2015,M Leach,CLSM,,,,,Public Library of Science,PLOS ONE,,,Functional Divergence of Hsp90 Genetic Interactions in Biofilm and Planktonic Cellular States,,COAF,,,,,,RG10992-10,,,23/09/2015,,1350,,USD,,,,,,,,,,,Reverse VAT reported
University of Aberdeen,26/02/2015,A Elliott,CLSM,,,,,Royal College of General Practitioners,British Journal of General Practice,,,Exploring preferences for symptom management in primary care,,COAF,,,,,,78176,,,26/02/2015,,1700,340,GBP,2040,1700,340,,Pre-payment discount,,,,,,
University of Aberdeen,21/10/2015,T Stevenson,Biological Sciences,,,10.1098/rspb.2015.1453,RSPB 2015.1453,Royal Society,Philosophical Transactions of the Royal Society B,,,"Disrupted seasonal biology impacts health, food security, and ecosystems",,RCUK,,,,,,BB/H008063 BBSRC,,,21/10/2015,,1700,340,GBP,2040,,,,,,,,,,
University of Aberdeen,01/11/2015,J Parnell,Geology & Petroleum Geology,,,,,Royal Society,Philosophical Transactions of the Royal Society A,,,Physical and Chemical Controls on Habitats for Life in the Deep Subsurface beneath Continents and Ice,,RCUK,,,,,,NE/G00322X/1,,,06/11/2015,,1700,340,GBP,2040,,,,,,,,,,
University of Aberdeen,14/01/2015,G Bewick,CLSM,PMC4331628,25698744,10.1523/jneurosci.3699-14.2015,"de Nooij, J.C., Simon, C.M., Simon, A., Doobar, S., Steel, K.P., Banks, R.W., Nentis, G.Z., Bewick, G.S., Jessell, T.M. Journal of Neuroscience, 35 (7) Februrary 18 2015 pp. 3073-3084",Society for Neuroscience,Journal of Neuroscience,0270-6474,Journal article/Review (Hybrid journal),The PDZ-domain protein Whirlin facilitates mechanosensory signalling in mammalian proprioceptors,18/02/2015,RCUK,,,MRC,,,MRC G0601253,,,20/01/2015,,3320,,USD,2193.4,,,,,,2193.4,CC BY,,,
University of Aberdeen,06/11/2015,G Kazanidis,,,,10.1007/s00338-015-1355-2,,Springer,Coral Reefs,,,"Biodiversity of Spongosorites coralliophaga (Stephens, 1915) on coral rubble at two contrasting cold-water coral reef settings",,RCUK,,,,,,NE/H017305/1,,,06/11/2015,,2640,,EUR,,1947.43,,,Pre-payment discount,,,,,,Reverse VAT reported
University of Aberdeen,11/09/2015,P McCaffery,CLSM,,,10.1007/s00429-015-1102-z,,Springer,Brain Structure and Function,,,Expression of the retinoic acid catabolic enzyme CYP26B1 in the…,,RCUK,,,,,,BB/K001043/1,,,,,2640,,EUR,,1947.43,,,Pre-payment discount,,,,,,Reverse VAT reported
University of Aberdeen,17/12/2015,G Ihongo,COPS,,,10.1007/s10509-015-2628-5,,Springer,Astrophysics and Space Science,,,The effects of solar wind on galactic cosmic ray flux at Earth,,,,,,,,,,,,,,,,,,,,Pre-payment discount,,,,,,
University of Aberdeen,22/04/2015,A Mort,CLSM,,25804608,10.1007/s10877-015-9673-z,"A. Mort, D.Fitzpatrick, P.Wilson, C.Mellish, A.Schneider",Springer,Journal of Clinical Monitoring and Computing,1387-1307,Journal article/Review (Hybrid journal),Lightweight physiologic sensor performance during pre-hospital care delivered by ambulance clinicians,25/03/2015,RCUK,,,,,,EP/G066051/1,,,29/04/2015,,2640,,EUR,1920.01,,,,Pre-payment discount,,1920.01,CC BY,,,
University of Aberdeen,27/04/2015,W Pang,COPS,,,10.1007/s12559-015-9328-x,"Z.Wu, W.Pang, G.Coghill",Springer,Cognitive Computation,1866-9956,Journal article/Review (Hybrid journal),An Integrated Qualitative and Quantitative Biochemical Model Learning Framework using Evolutionary Strategy and Simulated Annealing,03/05/2015,RCUK,,,,,,BB/F00513X/1,,,,,2640,,EUR,1906.4,,,,Pre-payment discount,,1906.4,CC BY,,,
University of Aberdeen,11/03/2015,Arts/Van der Wal,Biological Sciences,,,10.1007/s13280-015-0703-3,"Volume 44, Supplement 4",Springer,AMBIO,,,Digital technology and human development: A charter for nature conservation,,RCUK,,,,,,dot.rural,,,,,2200,,EUR,,1622.86,,,,,,,,,Reverse VAT reported
University of Aberdeen,11/03/2015,Arts/Van der Wal,Biological Sciences,,,10.1007/s13280-015-0704-2,"Volume 44, Supplement 4",Springer,AMBIO,,,Digitial innovation through partnership between nature conservation organisations and academia: A qualitative impact assessment,,RCUK,,,,,,dot.rural,,,,,2200,,EUR,,1622.86,,,,,,,,,Reverse VAT reported
University of Aberdeen,11/03/2015,Arts/Van der Wal,Biological Sciences,,,10.1007/s13280-015-0709-x,"Volume 44, Supplement 4",Springer,AMBIO,,,Mapping species distributions: A comparison of highly skilled naturalist and lay citizen science recording,,RCUK,,,,,,dot.rural,,,,,2200,,EUR,,1622.86,,,,,,,,,Reverse VAT reported
University of Aberdeen,11/03/2015,Arts/Van der Wal,Biological Sciences,,,10.1007/s13280-015-0711-3,"Volume 44, Supplement 4",Springer,AMBIO,,,Automated data analysis to rapidly derive and communicate ecological insights from satellite-tag data: A case study of reintroduced red kites,,RCUK,,,,,,dot.rural,,,,,2200,,EUR,,1622.86,,,,,,,,,Reverse VAT reported
University of Aberdeen,11/03/2015,Arts/Van der Wal,Biological Sciences,,,10.1007/s13280-015-0713-1,"Volume 44, Supplement 4",Springer,AMBIO,,,Limitations of recreational camera traps for wildlife management and conservation research: A practitioner's perspective,,RCUK,,,,,,dot.rural,,,,,2200,,EUR,,1622.86,,,,,,,,,Reverse VAT reported
University of Aberdeen,11/03/2015,Arts/Van der Wal,Biological Sciences,,,10.1007/s13280-015-0714-0,"Volume 44, Supplement 4",Springer,AMBIO,,,The social implications of using drones for biodiversity conservation,,RCUK,,,,,,dot.rural,,,,,2200,,EUR,,1622.86,,,,,,,,,Reverse VAT reported
University of Aberdeen,11/03/2015,Arts/Van der Wal,Biological Sciences,,,10.1007/s13280-015-0715-z,"Volume 44, Supplement 4",Springer,AMBIO,,,Microscope and spectacle: On the complexities of using new visual technologies to communicate about wildlife conservation,,RCUK,,,,,,dot.rural,,,,,2200,,EUR,,1622.87,,,,,,,,,Reverse VAT reported
University of Aberdeen,16/12/2015,Q Gan,Geology & Petroleum Geology,,,10.1007/s40948-015-0020-0,,Springer,Geomechanics and Geophysics for Geo-Energy and Geo-Resources,,,A continuum model for couple stress and fluid flow in discrete fracture networks,,,,,,,,,,,,,,,,,,,,Pre-payment discount,,,,,,
