"PMCID";"PMID";"DOI";"Publisher";"Journal title";"ISSN";"Article title";"Cost (£ incl VAT when charged)";"Fulltext in EPMC";"Ahead of Print?";"Author Manuscript?";"Licence in Europe PMC";"Licence on Publisher website";"Journal Type";"COAF compliant?";"Funder of research (1)";"Funder of research (2)";"Funder of research (3)";"Grant ID (1)";"Grant ID (2)";"Grant ID (3)";;
"PMC5035153";27473134;"10.1212/wnl.0000000000003044";"Ovid Technologies (Wolters Kluwer Health)";"Neurology";"0028-3878, 1526-632X";"GABA deficiency in NF1: a multimodal [11C]-Flumazenil and spectroscopy study";£3,615.26;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;;;;;
"PMC5075973";27698158;"10.1212/WNL.0000000000003182";"Ovid Technologies (Wolters Kluwer Health)";"Neurology";"0028-3878, 1526-632X";"Teaching NeuroImages: Neuroradiologic evolution of Leigh disease";£3,700.85;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4662697";26497993;"10.1212/wnl.0000000000002157";"Ovid Technologies (Wolters Kluwer Health)";"Neurology";"0028-3878, 1526-632X";"SCP2 mutations and neurodegeneration with brain iron accumulation";3222.456;1;"not applicable";0;"unknown";"unknown";"hybrid";0;"Wellcome Trust";;;"101876/Z/13/Z";101876;"096919Z/11/Z";;
"PMC4830195";27123478;"10.1212/nxg.0000000000000059";"Ovid Technologies (Wolters Kluwer Health)";"Neurology. Genetics";"2376-7839";"Homozygous deletion in MICU1 presenting with fatigue and lethargy in childhood.";2672.23;1;"not applicable";"unknown";"cc-by";"not applicable";"oa";1;"mrc, wellcome-trust,";0;0;;;;;
"PMC4972142";27536729;"10.1212/nxg.0000000000000082";"Ovid Technologies (Wolters Kluwer Health)";"Neurology. Genetics";"2376-7839";"Pathogenic mtDNA mutations causing mitochondrial myopathy: The need for muscle biopsy";£2,673.53;1;"not applicable";"unknown";"cc-by";"not applicable";"oa";1;"Wellcome Trust";;;96919;"MR/L016354/1";309548;;
"PMC5089902";27822509;"10.1212/NXG.0000000000000113";"Ovid Technologies (Wolters Kluwer Health)";"Neurology. Genetics";"2376-7839";"Peripheral neuropathy in patients with CPEO associated with single and multiple mtDNA deletions";£3,700.85;1;"not applicable";"unknown";"cc-by";"not applicable";"oa";1;"Wellcome Trust";;;;;;;
"PMC4929887";27386505;"10.1212/nxi.0000000000000254";"Ovid Technologies (Wolters Kluwer Health)";"NeurologyÂ® Neuroimmunology & Neuroinflammation";"2332-7812";"Arterial ischemic stroke in HIV: defining and classifying etiology for research studies";£2,743.68;1;"not applicable";"unknown";"cc-by";"not applicable";"oa";1;"Wellcome Trust";;;;;;;
"PMC4834814";27088890;"10.1097/j.pain.0000000000000491";"Ovid Technologies (Wolters Kluwer Health)";"Pain";"0304-3959, 1872-6623";"The Pain in Neuropathy Study (PiNS): A cross-sectional observational study determining the somatosensory phenotype of painful and painless neuropathy";£2,832.49;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;83259;;;;
"PMC4770329";25915148;"10.1097/j.pain.0000000000000200";"Ovid Technologies (Wolters Kluwer Health)";"Pain";"0304-3959, 1872-6623";"An omics investigation into chronic widespread musculoskeletal pain reveals epiandrosterone sulfate as a potential biomarker";£2,844.85;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Arthritis Research UK";"FP7 ";"Pain Relief Foundation";"unknown";20682;;;
"PMC4949003";27115670;"10.1097/j.pain.0000000000000492";"Ovid Technologies (Wolters Kluwer Health)";"Pain";"0304-3959, 1872-6623";"Neuropathic pain: An updated grading system for research and clinical practice";£3,398.99;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4747983";26469320;"10.1097/j.pain.0000000000000335";"Ovid Technologies (Wolters Kluwer Health)";"Pain";"0304-3959, 1872-6623";"Neuropathic pain phenotyping by international consensus (NeuroPPIC) for genetic studies: a NeuPSIG systematic review, Delphi survey and expert panel recommendations";£2,832.49;1;"not applicable";0;"cc-by-nc-nd";"unknown";"hybrid";0;"Wellcome Trust";;;102645;95698;77074;;
"PMC4836558";27089173;"10.1097/shk.0000000000000557";"Ovid Technologies (Wolters Kluwer Health)";"Shock (Augusta, Ga.)";"1073-2322, 1540-0514";"Stimulated whole blood cytokine release as a biomarker of immunosuppression in the critically ill: the need for a standardised methodology";£2,756.86;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;99089;"unknown";;;
"PMC4959823";26583476;"10.1097/brs.0000000000001330";"Ovid Technologies (Wolters Kluwer Health)";"Spine";"0362-2436, 1528-1159";"The impact of small spinal curves in adolescents that have not presented to secondary care: a population-based cohort study";3038.96;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"MRC";"Wellcome Trust";;102215;"MC_PC_15018";;;
"PMC4760380";26839351;"10.1161/strokeaha.115.011545";"Ovid Technologies (Wolters Kluwer Health)";"Stroke";"0039-2499, 1524-4628";"Association of MTHFR C677T Genotype With Ischemic Stroke Is Confined to Cerebral Small Vessel Disease Subtype.";4119.71;1;"not applicable";0;"cc-by";"cc-by";"hybrid";1;"British Heart Foundation";"Wellcome Trust";" UK Stroke Association";;72952;;;
"PMC4617282";26443828;"10.1161/strokeaha.115.009816";"Ovid Technologies (Wolters Kluwer Health)";"Stroke";"0039-2499, 1524-4628";"Differences in Common Genetic Predisposition to Ischemic Stroke by Age and Sex.";2398.71;1;"not applicable";0;"cc-by";"cc-by";"hybrid";1;"British Heart Foundation";"NIHR";"Wellcome Trust";;;95626;;
"PMC4617292";26419965;"10.1161/strokeaha.115.010665";"Ovid Technologies (Wolters Kluwer Health)";"Stroke";"0039-2499, 1524-4628";"Clinically Confirmed Stroke With Negative Diffusion-Weighted Imaging Magnetic Resonance Imaging Longitudinal Study of Clinical Outcomes, Stroke Recurrence, and Systematic Review";£2,981.51;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"088134/Z/09/A";;;;
"PMC4512747";26159793;"10.1161/strokeaha.115.009387";"Ovid Technologies (Wolters Kluwer Health)";"Stroke";"0039-2499, 1524-4628";"Genetic factors influencing coagulation factor XIII B-subunit (FXIIIB) contribute to risk of ischaemic stroke";£3,352.16;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"unknown";95626;84724;;
"PMC4839546";27073246;"10.1161/strokeaha.115.011625";"Ovid Technologies (Wolters Kluwer Health)";"Stroke";"0039-2499, 1524-4628";"Genetic Associations With White Matter Hyperintensities Confer Risk of Lacunar Stroke";£3,736.13;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;95626;72952;"TSA 2013/01";;
"PMC4604652";26252568;"10.1097/inf.0000000000000874";"Ovid Technologies (Wolters Kluwer Health)";"The Pediatric infectious disease journal";"0891-3668, 1532-0987";"Risk of TB Disease After Isoniazid Preventive Therapy for Mycobacterium tuberculosis Exposure in Young HIV-uninfected Children";£3,806.14;1;"not applicable";0;"non-standard-licence";"unknown";"hybrid";0;"Wellcome Trust";;;84323;95780;"G1100570";;
"PMC4604651";26226446;"10.1097/inf.0000000000000847";"Ovid Technologies (Wolters Kluwer Health)";"The Pediatric infectious disease journal";"0891-3668, 1532-0987";"The Role of Clinical Symptoms in the Diagnosis of Intrathoracic Tuberculosis in Young Children";£3,806.14;1;"not applicable";0;"non-standard-licence";"unknown";"hybrid";0;"Wellcome Trust";;;95780;84323;76943;;
"unknown";27472089;"10.1097/TP.0000000000001278";"Ovid Technologies (Wolters Kluwer Health)";"Transplantation";"0041-1337, 1534-6080";"CD45RA distinguishes CD4+CD25+CD127-/low TSDR demethylated regulatory T cell subpopulations with differential stability and susceptibility to tacrolimus mediated inhibition of suppression";£3,269.30;0;1;"not applicable";"unknown";"unknown";"hybrid";0;"Wellcome Trust";;;;;;;
"PMC5137418";27422871;"10.1093/nar/gkw637";"Oxford University Press";"Nucleic acids research";"0305-1048, 1362-4962";"Molecular basis of RNA guanine-7 methyltransferase (RNMT) activation by RAM.";1704;1;"not applicable";"unknown";"cc-by";"not applicable";"oa";1;"Wellcome Trust";;;"MR/K024213/1";"G0700240";;;
"PMC4711658";26764402;"10.1093/ageing/afv171";"Oxford University Press (OUP)";"Age and ageing";"0002-0729, 1468-2834";"Links between depressive symptoms and unmet health and social care needs among older prisoners";£2,000.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;95806;;;;
"PMC4711661";26764396;"10.1093/ageing/afv177";"Oxford University Press (OUP)";"Age and ageing";"0002-0729, 1468-2834";"Delirium risk stratification in consecutive unselected admission to acute medicine: validation of externally derived risk scores";£2,000.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;95626;104040;;;
"PMC4776623";26790455;"10.1093/ageing/afv192";"Oxford University Press (OUP)";"Age and ageing";"0002-0729, 1468-2834";"Global variation in grip strength: a systematic review and meta-analysis of normative data";2400;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";0;0;"MC_U147585819";"MC_UP_A620_1014";"MC_UP_A620_1015";;
"PMC4547925";26162912;"10.1093/ageing/afv073";"Oxford University Press (OUP)";"Age and ageing";"0002-0729, 1468-2834";"Low heel ultrasound parameters predict mortality in men: results from the European Male Ageing Study (EMAS).";£2,400.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;20380;"U105960371";"MC_U105960371";;
"PMC4776622";26679698;"10.1093/ageing/afv170";"Oxford University Press (OUP)";"Age and ageing";"0002-0729, 1468-2834";"Chronic widespread pain is associated with worsening frailty in European men.";£2,400.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;"MANMKBRU-2012-1";20380;;;
"PMC5027638";27146303;"10.1093/ageing/afw080";"Oxford University Press (OUP)";"Age and ageing";"0002-0729, 1468-2834";"Hearing impairment and incident disability and all-cause mortality in older British community-dwelling men";£2,736.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;;;;;
"PMC4922485";27334808;"10.1093/ajcp/aqw075";"Oxford University Press (OUP)";"American journal of clinical pathology";"0002-9173, 1943-7722";"Enhanced Islet Cell Nucleomegaly Defines Diffuse Congenital Hyperinsulinism in Infancy but Not Other Forms of the Disease.";£2,100.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;;;;;
"PMC5023793";27613659;"10.1093/aje/kww055";"Oxford University Press (OUP)";"American journal of epidemiology";"0002-9262, 1476-6256";"Reductions in housing benefit increases symptoms of depression in low-income UK households";£2,125.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4908211";27188935;"10.1093/aje/kww009";"Oxford University Press (OUP)";"American journal of epidemiology";"0002-9262, 1476-6256";"Association of genetic risk for schizophrenia associated with non-participation over time in a population-based cohort study";2550;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";" ";0;102215;"MR/M006727/1";"MC_UU_12013/1";;
"PMC4634309";26507304;"10.1093/aje/kwv219";"Oxford University Press (OUP)";"American journal of epidemiology";"0002-9262, 1476-6256";"Vandenbroucke and Pearce Respond to Ã¢Â€ÂœIncident and Prevalent Exposures andCausal Inference";2550;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4908213";27226249;"10.1093/aje/kww031";"Oxford University Press (OUP)";"American journal of epidemiology";"0002-9262, 1476-6256";"Context-specific associations of physical activity and sedentary behaviour with cognition in children";£2,907.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation/Cancer Research UK";"ESRC";;"ES/M003795/1";;;;
"PMC5023792";27613660;"10.1093/aje/kww054";"Oxford University Press (OUP)";"American Journal of Epidemiology";"1476-6256, 0002-9262";"Time-varying differential misclassification is always possible, but highly unlikely";£2,125.00;1;"not applicable";0;"cc-by";"cc-by";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4576907";26202597;"10.1093/annonc/mdv289";"Oxford University Press (OUP)";"Annals of oncology : official journal of the European Society for Medical Oncology";"0923-7534, 1569-8041";"Prospective study evaluating the relative sensitivity of 18F-NaF PET/CT for detecting skeletal metastases from renal cell carcinoma in comparison to multidetector CT and 99mTc-MDP bone scintigraphy, using an adaptive trial design.";2400;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"cancer-research-uk, epsrc, nihr,";0;0;12177;16465;"MC_UP_1302/4";;
"PMC4769995";26681675;"10.1093/annonc/mdv613";"Oxford University Press (OUP)";"Annals of oncology : official journal of the European Society for Medical Oncology";"0923-7534, 1569-8041";"Methanol-based fixation is superior to buffered formalin for next-generation sequencing of DNA from clinical cancer samples";2400;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Cancer Research UK (CAN-RES-UK)";;;"A15601";"A15973";"unknown";;
"PMC5091325";27573567;"10.1093/annonc/mdw408";"Oxford University Press (OUP)";"Annals of oncology : official journal of the European Society for Medical Oncology";"0923-7534, 1569-8041";"No 'cure' within 12 years of diagnosis amongst breast cancer patients who are diagnosied via mammographic screening: women diagnosed in the West Midlands region of England 1989-2011.";2400;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Cancer Research UK";;;;;;;
"PMC4658544";26433395;"10.1093/annonc/mdv392";"Oxford University Press (OUP)";"Annals of oncology : official journal of the European Society for Medical Oncology";"0923-7534, 1569-8041";"Statistical controversies in clinical research: long-term follow-up of clinical trials in cancer.";2400;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;16891;;;;
"PMC4803450";26646754;"10.1093/annonc/mdv590";"Oxford University Press (OUP)";"Annals of oncology : official journal of the European Society for Medical Oncology";"0923-7534, 1569-8041";"Factors affecting uptake and adherence to breast cancer chemoprevention: a systematic review and meta-analysis.";2400;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;16891;17429;"C49896/A17429";;
"PMC4908321";26873930;"10.1093/bioinformatics/btw075";"Oxford University Press (OUP)";"Bioinformatics (Oxford, England)";"1367-4803, 1367-4811";"Trinculo: Bayesian and frequentist multinomial logistic regression for genome-wide association studies of multi-category phenotypes";£850.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC5018366";27153664;"10.1093/bioinformatics/btw230";"Oxford University Press (OUP)";"Bioinformatics (Oxford, England)";"1367-4803, 1367-4811";"Combenefit: an interactive platform for the analysis and visualization of drug combinations.";2040;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"cancer-research-uk";0;0;;;;;
"PMC4612221";26139634;"10.1093/bioinformatics/btv398";"Oxford University Press (OUP)";"Bioinformatics (Oxford, England)";"1367-4803, 1367-4811";"Functional classification of CATH superfamilies: a domain-based approach for protein function annotation";£2,100.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"BBSRC";;"081989/Z/07/Z";"BB/L002817/1";"BB/K020013/1";;
"unknown";"unknown";"10.1093/brain/aww175";"Oxford University Press (OUP)";"Brain";"0006-8950";"Visual dysfunction in ParkinsonÂ’s Disease";£2,736.00;0;1;"not applicable";"unknown";"cc-by";"hybrid";0;"Wellcome Trust/Parkinsons UK";"ESRC/EPSRC/MRC";;;;;;
"PMC5035816";27329767;"10.1093/brain/aww155";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Response to The role of DNAJB2 in ALS";£600.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"MRC";;;;;;;
"PMC4892749";27016405;"10.1093/brain/aww051";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Both mitochondrial DNA and mitonuclear gene mutations cause hearing loss through cochlear dysfunction.";1200;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"mrc, nihr, wellcome-trust,";0;0;;;;;
"PMC4949392";26582557;"10.1093/brain/awv334";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Visual short-term memory deficits in REM sleep behaviour disorder mirror those in Parkinson's disease";£2,000.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;98282;"unknown";;;
"PMC4949390";26626368;"10.1093/brain/awv329";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Effective reinforcement learning following cerebellar damage requires a balance between exploration and motor noise.";2400;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"nih, royal-society, wellcome-trust, HFSP";0;0;97803;"R01 HD040289";"MR/J012610/1";;
"PMC4892756";27190030;"10.1093/brain/aww081";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Emerging therapies for mitochondrial disorders.";2400;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"wellcome-trust, nihr, mrc, eu fp7";0;0;"MC_UP_1501/2";"G0601943";;;
"PMC4671477";26173861;"10.1093/brain/awv211";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Baseline and longitudinal grey matter changes in newly diagnosed Parkinson's disease: ICICLE-PD study.";2400;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"nihr, wellcome,";0;0;103838;93875;"MC_U105597119";;
"PMC4949391";26582559;"10.1093/brain/awv331";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Different decision deficits impair response inhibition in progressive supranuclear palsy and Parkinson's disease.";2400;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"mrc, wellcome, nihr";0;0;103838;93875;"G0001354";;
"PMC4614130";25882651;"10.1093/brain/awv096";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Abnormal dopaminergic modulation of striato-cortical networks underlies levodopa-induced dyskinesias in humans.";2400;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"mrc, wellcome";0;0;88324;"G0001354";"MC_U105597119";;
"PMC4163033";25080285;"10.1093/brain/awu201";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Genetic impact on cognition and brain function in newly diagnosed Parkinson's disease: ICICLE-PD study.";2400;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"wellcome, mrc, nihr";0;0;"JBR 088324";101876;88324;;
"PMC5035823";27543973;"10.1093/brain/aww209";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"The promises and pitfalls of applying computational models to neurological and psychiatric disorders";2400;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"wellcome-trust, Bernard Wolfe Health Neuroscience Fund";;;93875;;;;
"PMC4939698";27190025;"10.1093/brain/aww083";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Thalamic pathology and memory loss in early AlzheimerÂ’s disease: Moving the focus from the medial temporal lobe to Papez circuit";2400;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";0;0;;;;;
"PMC4892750";27017187;"10.1093/brain/aww056";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Anti-ganglioside antibodies are removed from circulation in mice by neuronal endocytosis";2400;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust (WELLCOME)";;;;;;;
"PMC4806220";26936939;"10.1093/brain/aww009";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Longitudinal patterns of leukoaraiosis and brain atrophy in symptomatic small vessel disease";2400;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;81589;"unknown";"ARUK-PG2013-2";;
"PMC4655340";26454668;"10.1093/brain/awv281";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Varieties of semantic Â‘accessÂ’ deficit in WernickeÂ’s Aphasia and Semantic Aphasia";2400;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"MRC";0;105624;"MR/J004146/1";283530;;
"PMC4958900";27297240;"10.1093/brain/aww137";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Tauopathy induced by low level expression of a human brain-derived tau fragment in mice is rescued by phenylbutyrate";£2,400.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"Arthritis Research UK";;;;;;
"PMC4655345";26598494;"10.1093/brain/awv310";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"The Clinical and Genetic Heterogeneity of Paroxysmal Dyskinesias";£2,400.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"MRC";;"WT093205MA";"WT104033AIA";104033;;
"PMC4671481";26264515;"10.1093/brain/awv233";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Structural imaging biomarkers of sudden unexpected death in epilepsy";£2,400.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"U01-NS090407-01";"U01-NS090405-01";;;
"PMC4766375";26747862;"10.1093/brain/awv379";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Pharmacological targeting of CSF1R inhibits microglial proliferation and prevents the progression of AlzheimerÂ’s-like pathology";2415.5;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"MRC";"Arthritis Research UK";"Wellcome Trust";"MR/K022687/1";;;;
"PMC4805088";26754787;"10.1093/brain/awv365";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Memory network plasticity after temporal lobe resection: a longitudinal functional imaging study";£2,736.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"MRC";;93875;83148;"MC_U105579215";;
"PMC4795516";26912519;"10.1093/brain/awv380";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"In vivo impact of presynaptic calcium channel dysfunction on motor axons in Episodic Ataxia Type 2";£2,736.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"unknown";1725;"5 U54 NS 059065";;
"PMC4892755";27105896;"10.1093/brain/aww076";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Embodied Neurology: An integrative framework for neurological disorders";£2,736.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;91593;616905;;;
"PMC4939695";27217339;"10.1093/brain/aww111";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Genetic and phenotypic characterisation of complex hereditary spastic paraplegia";£2,736.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"MRC";;"MR/L010933/1";"G0601943";;;
"PMC5091046";27604308;"10.1093/brain/aww221";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Advantages and pitfalls of an extended gene panel for investigating complex neurometabolic phenotypes";£2,736.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"V1215";"V1260";"V1254";;
"PMC4892752";27060523;"10.1093/brain/aww067";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Core auditory processing deficits in primary progressive aphasia";£3,120.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;91593;;;;
"PMC4655340";26454668;"10.1093/brain/awv281";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"A Systematic Review & Meta-Analysis of HIV, Hepatitis B and Hepatitis C Prevalence in People with Severe Mental Health Illness";3766.54;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";0;0;105624;"MR/J004146/1";283530;;
;26001387;"10.1093/brain/awv133";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Improving response inhibition systems in frontotemporal dementia with citalopram.";2400;0;0;"not applicable";"unknown";"cc-by";"hybrid";0;"wellcome, mrc, nihr";0;0;103838;93875;88324;;
"unknown";26993800;"10.1093/brain/aww039";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Neuregulin-1 controls an endogenous repair mechanism after spinal cord injury";£480.00;0;0;"not applicable";"unknown";"cc-by";"hybrid";0;"Wellcome Trust";"MRC";"International Spinal Research Trust";"STR101";"G1002055";;;
"unknown";26381821;"10.1093/brain/awv269";"Oxford University Press (OUP)";"Brain : a journal of neurology";"0006-8950, 1460-2156";"Strategy and suppression impairments after Right Lateral and Orbito-Frontal lesions";£1,200.00;0;0;"not applicable";"unknown";"cc-by";"hybrid";0;"Wellcome Trust";;;"MC_U105580448";;;;
"unknown";27373737;"10.1093/bib/bbw054";"Oxford University Press (OUP)";"Briefings in bioinformatics";"1467-5463, 1477-4054";"BrowseVCF: a web-based application and workflow to quickly prioritise disease-causative variants in VCF files";£1,850.00;0;1;"not applicable";"unknown";"cc-by";"hybrid";0;"Wellcome Trust";;;;;;;
"unknown";27255914;"10.1093/bib/bbw044";"Oxford University Press (OUP)";"Briefings in bioinformatics";"1467-5463, 1477-4054";"Embracing an integromic approach to tissue biomarker research in cancer";2100;0;1;"not applicable";"unknown";"cc-by";"hybrid";0;"Cancer Research UK";;;;;;;
"PMC4880005";26590207;"10.1093/bfgp/elv050";"Oxford University Press (OUP)";"Briefings in functional genomics";"2041-2649, 2041-2657";"Hypoxic regulation of the noncoding genome and NEAT1";£1,750.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;16016;;;;
"PMC4777914";26786158;"10.1093/cvr/cvw012";"Oxford University Press (OUP)";"Cardiovascular research";"0008-6363, 1755-3245";"Compromised redox homeostasis, altered nitroso-redox balance and therapeutic possibilities in atrial fibrillation";£2,000.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";"British Heart Foundation";;1362364;"unknown";"RG/11/15/29375";;
"PMC4872880";27089919;"10.1093/cvr/cvw080";"Oxford University Press (OUP)";"Cardiovascular research";"0008-6363, 1755-3245";"Intracellular tortuosity underlies slow cAMP diffusion in adult ventricular myocytes";£2,000.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;"PG/12/2/29324";;;;
"PMC4724937";26645981;"10.1093/cvr/cvv268";"Oxford University Press (OUP)";"Cardiovascular research";"0008-6363, 1755-3245";"Differential Effects of Tissue Inhibitor of Metalloproteinase (TIMP)-1 and TIMP-2 on Atherosclerosis and Monocyte/Macrophage Invasion";2400;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;"FS/07/053/24069";"RG/09/006/27918";"PG/13/48/30341";;
"PMC4836629";26956799;"10.1093/cvr/cvw050";"Oxford University Press (OUP)";"Cardiovascular research";"0008-6363, 1755-3245";"Profilin Modulates Sarcomeric Organization and Mediates Cardiomyocyte Hypertrophy";£2,400.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;"HV-10-05";"P01 HL77189-01";"PG/14/44/30890";;
"PMC4872879";27068509;"10.1093/cvr/cvw075";"Oxford University Press (OUP)";"Cardiovascular research";"0008-6363, 1755-3245";"Extracellular Matrix Remodeling in Response to Venous Hypertension: Proteomics of Human Varicose Veins";£2,400.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;;;;;
