Nr.,Institution,Publikationsjahr,Kosten (incl. 19% VAT),Verlag,Journal,Artikel,E-ISSN,DOI,base_url,repo_id,Fakultät,Finanzgeber,Anmerkungen
120,Goettingen U,2014,"2856,00",Nature Publ. Group,Cell Death & Disease,"Landmann, H.; Proia, D. A.; He, S.; Ogawa, L. S.; Kramer, F.; Beißbarth, T.; Grade, M.; Gaedcke, J.; Ghadimi, M.; Moll, U.; Dobbelstein, M. (2014): UDP glucuronosyltransferase 1A expression levels determine the response of colorectal cancer cells to the heat shock protein 90 inhibitor ganetespib. - Cell death & disease; Vol. 5, e1411",2041-4889,10.1038/cddis.2014.378,http://resolver.sub.uni-goettingen.de/,10891,UMG,UGOE-Ergänzungsfonds 2014,NA
121,Goettingen U,2014,"2548,46","Impact Journals, LLC",OncoTarget,"Keitel, Ulrike; Scheel, Andreas; Thomale, Jürgen; Halpape, Rovena; Kaulfuß, Silke; Scheel, Christina; Dobbelstein, Matthias (2014): Bcl-xL mediates therapeutic resistance of a mesenchymal breast cancer cell subpopulation - Oncotarget. 2014 Dec 15;5(23):11778-91",1949-2553,10.18632/oncotarget.2634,http://resolver.sub.uni-goettingen.de/,11133,UMG,UGOE-Ergänzungsfonds 2014,NA
122,Goettingen U,2015,"1362,32","WJG Press, Baishideng Publ. Group",World Journal of Gastroenterology ,"Brandhorst, Gunnar; Petrova, Darinka Todorova; Weigand, Sebastian; Eberle, Christoph; von Ahsen, Nicolas; Schmitz, Jessica; Schultze, Frank Christian; Raddatz, Dirk; Karaus, Michael; Oellerich, Michael; Walson, Philip D. (2014 accepted; First publ. Online 2015):  Lack of correlation between Treg quantification assays in inflammatory bowel disease patients. - World journal of gastroenterology : WJG; Vol. 21, No. 11, p. 3325-3329. ",2219-2840,10.3748/wjg.v21.i11.3325,http://resolver.sub.uni-goettingen.de/,11750,UMG,UGOE-Ergänzungsfonds 2014,2014 accepted; First publ. Online 2015
123,Goettingen U,2014,"809,20",Springer ,SpringerPlus,"Hohloch, Karin; Zwick, Carsten; Ziepert, Marita; Hasenclever, Dirk; Kaiser, Ulrich; Engert, Andreas; Höffkes, Heinz-Gert; Kroschinsky, Frank; Mesters, Rolf; Feller, Andreas C.; Löffler, Markus; Trümper, Lorenz; Pfreundschuh, Michael (2014): Significant dose Escalation of Idarubicin in the treatment of aggressive Non- Hodgkin Lymphoma leads to increased hematotoxicity without improvement in efficacy in comparison to standard CHOEP-14: 9-year follow up results of the CIVEP trial of the DSHNHL. - SpringerPlus; Vol. 3, 5, p. 1-9. ",2193-1801,10.1186/2193-1801-3-5,http://resolver.sub.uni-goettingen.de/,11752,UMG,UGOE-Ergänzungsfonds 2014,NA
124,Goettingen U,2014,"1428,00",BioMed Central,BMC Anesthesiology,"Bergmann, Ingo; Crozier, Thomas; Roessler, Markus; Schotola, Hanna; Mansur, Ashham; Büttner, Benedikt; Hinz, José; Bauer, Martin (2014): The effect of changing the sequence of cuff inflation and device fixation with the LMA-Supreme® on device position, ventilatory complications, and airway morbidity: a clinical and fiberscopic study - BMC Anesthesiology; Vol. 14, No. 1, p. 2",1471-2253,10.1186/1471-2253-14-2,http://resolver.sub.uni-goettingen.de/,9652,UMG,UGOE-Ergänzungsfonds 2014,NA
125,Goettingen U,2014,"1518,44",BioMed Central,BMC Ecology,"Everwand, Georg; Rösch, Verena; Tscharntke, Teja; Scherber, Christoph (2014): Disentangling direct and indirect effects of experimental grassland management and plant functional-group manipulation on plant and leafhopper diversity - BMC Ecology; Vol. 14, No. 1, 1",1472-6785,10.1186/1472-6785-14-1 ,http://resolver.sub.uni-goettingen.de/,10035,Agrarwiss.,UGOE-Ergänzungsfonds 2014,NA
126,Goettingen U,2014,"799,68",Springer,Environmental Sciences Europe ,"Bauböck, Roland (2014): Simulating the yields of bioenergy and food crops with the crop modeling software BioSTAR: the carbon-based growth engine and the BioSTAR ET0 method - Environmental Sciences Europe; Vol. 26, No. 1, p. 1",1865-5084,10.1186/2190-4715-26-1,http://resolver.sub.uni-goettingen.de/,10236,Geowiss.,UGOE-Ergänzungsfonds 2014,NA
127,Goettingen U,2014,"1447,04",BioMed Central,Journal of Neuroinflammation,"Ribes, Sandra; Meister, Tanja; Ott, Martina; Redlich, Sandra; Janova, Hana; Hanisch, Uwe-Karsten; Nessler, Stefan; Nau, Roland (2014): Intraperitoneal prophylaxis with CpG oligodeoxynucleotides protects neutropenic mice against intracerebral Escherichia coli K1 infection - Journal of Neuroinflammation; Vol. 11, No. 1, 14",1742-2094,10.1186/1742-2094-11-14,http://resolver.sub.uni-goettingen.de/,9757,UMG,UGOE-Ergänzungsfonds 2014,NA
128,Goettingen U,2014,"1251,88",BioMed Central,Molecular Cytogenetics ,"Schwaibold, Eva Maria Christina; Bartels, Iris; Küster, Helmut; Lorenz, Michael; Burfeind, Peter; Adam, Ronja; Zoll, Barbara (2014): De novo duplication of chromosome 16p in a female infant with signs of neonatal hemochromatosis - Molecular Cytogenetics; Vol. 7, No. 1, 7",1755-8166,10.1186/1755-8166-7-7,http://resolver.sub.uni-goettingen.de/,9752,UMG,UGOE-Ergänzungsfonds 2014,NA
129,Goettingen U,2014,"1442,28",BioMed Central,BMC Medical Education,"Alt-Epping, Bernd; Lohse, Constanze; Viebahn, Christoph; Steinbüchel, Nicole von; Benze, Gesine; Nauck, Friedemann (2014): On death and dying - an exploratory and evaluative study of a reflective, interdisciplinary course element in undergraduate anatomy teaching - BMC Medical Education; Vol. 14, No. 1, 15",1472-6920,10.1186/1472-6920-14-15,http://resolver.sub.uni-goettingen.de/,9770,UMG,UGOE-Ergänzungsfonds 2014,NA
130,Goettingen U,2014,"1285,20",BioMed Central,Journal of NeuroEngineering and Rehabilitation,"Dutta, Anirban; Paulus, Walter; Nitsche, Michael A (2014): Facilitating myoelectric-control with transcranial direct current stimulation: a preliminary study in healthy humans - Journal of NeuroEngineering and Rehabilitation; Vol. 11, No. 1, 13",1743-0003,10.1186/1743-0003-11-13,http://resolver.sub.uni-goettingen.de/,9942,UMG,UGOE-Ergänzungsfonds 2014,NA
131,Goettingen U,2014,"1447,04",BioMed Central,BMC Medical Research Methodology ,"Kottas, Martina; Kuss, Oliver; Zapf, Antonia (2014): A modified Wald interval for the area under the ROC curve (AUC) in diagnostic case-control studies - BMC Medical Research Methodology; Vol. 14, No. 1, 26",1471-2288,10.1186/1471-2288-14-26,http://resolver.sub.uni-goettingen.de/,10056,UMG,UGOE-Ergänzungsfonds 2014,NA
132,Goettingen U,2014,"1447,04",BioMed Central,BMC Medical Ethics  ,"Mertz, Marcel; Inthorn, Julia; Renz, Günter; Rothenberger, Lillian G.; Salloch, Sabine; Schildmann, Jan; Wöhlke, Sabine; Schicktanz, Silke (2014): Research across the disciplines: a road map for quality criteria in empirical ethics research - BMC Medical Ethics; Vol. 15, No. 1, 17",1472-6939,10.1186/1472-6939-15-17,http://resolver.sub.uni-goettingen.de/,10037,UMG,UGOE-Ergänzungsfonds 2014,NA
133,Goettingen U,2014,"1485,12",BioMed Central,BMC Family Practice,"Chenot, Jean-François; Weber, Peter; Friede, Tim (2014): Efficacy of Ambroxol lozenges for pharyngitis: a meta-analysis - BMC Family Practice; Vol. 15, No. 1, 45",1471-2296,10.1186/1471-2296-15-45,http://resolver.sub.uni-goettingen.de/,10041,UMG,UGOE-Ergänzungsfonds 2014,NA
134,Goettingen U,2014,"1470,84",BioMed Central,Journal of Cardiothoracic Surgery  ,"Weymann, Alexander; Borst, Tobias; Popov, Aron-Frederik; Sabashnikov, Anton; Bowles, Christopher; Schmack, Bastian; Veres, Gabor; Chaimow, Nicole; Simon, Andre R.; Karck, Matthias; Szabo, Gábor (2014): Surgical treatment of infective endocarditis in active intravenous drug users: a justified procedure? - Journal of Cardiothoracic Surgery; Vol. 9, No. 1, 58",1749-8090,10.1186/1749-8090-9-58,http://resolver.sub.uni-goettingen.de/,10069,UMG,UGOE-Ergänzungsfonds 2014,NA
135,Goettingen U,2014,"1542,24",BioMed Central,Journal of Cardiothoracic Surgery  ,"Weymann, Alexander; Schmack, Bastian; Sabashnikov, Anton; Bowles, Christopher T.; Raake, Philipp; Arif, Rawa; Verch, Markus; Tochtermann, Ursula; Roggenbach, Jens; Popov, Aron F.; Simon, Andre R.; Karck, Matthias; Ruhparwar, Arjang (2014): Central extracorporeal life support with left ventricular decompression for the treatment of refractory cardiogenic shock and lung failure - Journal of Cardiothoracic Surgery; Vol. 9, No. 1, 60",1749-8090,10.1186/1749-8090-9-60,http://resolver.sub.uni-goettingen.de/,10038,UMG,UGOE-Ergänzungsfonds 2014,NA
136,Goettingen U,2014,"1518,44",BioMed Central,BMC Genomics,"Mann, Karlheinz; Jackson, Daniel J. (2014): Characterization of the pigmented shell-forming proteome of the common grove snail Cepaea nemoralis - BMC Genomics; Vol. 15, No. 1, 249",1471-2164,10.1186/1471-2164-15-249,http://resolver.sub.uni-goettingen.de/,10043,CRC Geobiology,UGOE-Ergänzungsfonds 2014,NA
137,Goettingen U,2014,"1475,60",BioMed Central,BMC Evolutionary Biology ,"Pozzi, Luca; Disotell, Todd R; Masters, Judith C (2014): A multilocus phylogeny reveals deep lineages within African galagids (Primates: Galagidae) - BMC Evolutionary Biology; Vol. 14, No. 1, 72",1471-2148,10.1186/1471-2148-14-72,http://resolver.sub.uni-goettingen.de/,10103,Fakultät für Biologie und Psychologie ,UGOE-Ergänzungsfonds 2014,NA
138,Goettingen U,2014,"1651,72",BioMed Central,Molecular Neurodegeneration,"Guzmán, Erika A.; Bouter, Yvonne; Richard, Bernhard C.; Lannfelt, Lars; Ingelsson, Martin; Paetau, Anders; Verkkoniemi-Ahola, Auli; Wirths, Oliver; Bayer, Thomas A. (2014): Abundance of Aß5-x like immunoreactivity in transgenic 5XFAD, APP/PS1KI and 3xTG mice, sporadic and familial Alzheimer´s disease - Molecular Neurodegeneration; Vol. 9, No. 1, 13",1750-1326,10.1186/1750-1326-9-13,http://resolver.sub.uni-goettingen.de/,10042,UMG,UGOE-Ergänzungsfonds 2014,NA
139,Goettingen U,2014,"1442,28",BioMed Central,BMC Bioinformatics,"Gültas, Mehmet; Düzgün, Güncel; Herzog, Sebastian; Jäger, Sven J.; Meckbach, Cornelia; Wingender, Edgar; Waack, Stephan (2014): Quantum coupled mutation finder: predicting functionally or structurally important sites in proteins using quantum Jensen-Shannon divergence and CUDA programming - BMC Bioinformatics; Vol. 15, No. 1, 96",1471-2105,10.1186/1471-2105-15-96,http://resolver.sub.uni-goettingen.de/,10109,Informatik,UGOE-Ergänzungsfonds 2014,NA
140,Goettingen U,2014,"1470,84",BioMed Central,BMC Anesthesiology,"Enigk, Fabian; Wagner, Antje; Samapati, Rudi; Rittner, Heike; Brack, Alexander; Mousa, Shaaban A.; Schäfer, Michael; Habazettl, Helmut; Schäper, Jörn (2014): Thoracic epidural anesthesia decreases endotoxin-induced endothelial injury - BMC Anesthesiology; Vol. 14, No. 1, 23",1471-2253,10.1186/1471-2253-14-23,http://resolver.sub.uni-goettingen.de/,10104,UMG,UGOE-Ergänzungsfonds 2014,NA
141,Goettingen U,2014,"1475,60",BioMed Central,BMC Systems Biology,"Dönitz, Jürgen; Wingender, Edgar (2014): EndoNet: an information resource about the intercellular signaling network - BMC Systems Biology; Vol. 8, No. 1, 49",1752-0509,10.1186/1752-0509-8-49,http://resolver.sub.uni-goettingen.de/,10113,Fakultät für Biologie und Psychologie ,UGOE-Ergänzungsfonds 2014,NA
142,Goettingen U,2014,"828,24",Springer,SpringerPlus,"Staab, Wieland; Goth, Sabrina; Sohns, Christian; Sohns, Jan Martin; Steinmetz, Michael; Buchwald, Christina Unterberg; Schuster, Andreas; Kowallick, Johannes Tammo; Fasshauer, Martin; Lotz, Joachim (2014): Comparison of end-diastolic versus end-systolic cardiac-computed tomography reconstruction interval in patient's prior to pulmonary vein isolation. - SpringerPlus; Vol. 3, 218, p. 1-8. ",2193-1801,10.1186/2193-1801-3-218,http://resolver.sub.uni-goettingen.de/,11751,UMG,UGOE-Ergänzungsfonds 2014,NA
143,Goettingen U,2014,"1542,24",BioMed Central,Journal of Cardiothoracic Surgery  ,"Zeriouh, Mohamed; Sabashnikov, Anton; Choi, Yeong-Hoon; Fatullayev, Javid; Reuter, Hannes; Popov, Aron-Frederik; Langebartels, Georg; Kimmig, Lucas; Rahmanian, Parwis B.; Wittwer, Thorsten; Neef, Klaus; Wippermann, Jens; Wahlers, Thorsten (2014): A novel treatment strategy of new onset atrial fibrillation after cardiac surgery: an observational prospective study - Journal of Cardiothoracic Surgery; Vol. 9, No. 1, 83",1749-8090,10.1186/1749-8090-9-83,http://resolver.sub.uni-goettingen.de/,10167,UMG,UGOE-Ergänzungsfonds 2014,NA
144,Goettingen U,2014,"1442,28",BioMed Central,BMC Family Practice,"Wermeling, Matthias; Thiele-Manjali, Ulrike; Koschack, Janka; Lucius-Hoene, Gabriele; Himmel, Wolfgang (2014): Type 2 diabetes patient´s perspectives on lifestyle counselling and weight management in general practice: a qualitative study - BMC Family Practice; Vol. 15, No. 1, 97",1471-2296,10.1186/1471-2296-15-97,http://resolver.sub.uni-goettingen.de/,10123,UMG,UGOE-Ergänzungsfonds 2014,NA
145,Goettingen U,2014,"1447,04",BioMed Central,BMC Psychiatry ,"Jordan, Kirsten; Fromberger, Peter; Laubinger, Helge; Dechent, Peter; Müller, Jürgen L. (2014): Changed processing of visual sexual stimuli under GnRH-therapy - a single case study in pedophilia using eye tracking and fMRI - BMC Psychiatry; Vol. 14, No. 1, 142",1471-244X,10.1186/1471-244X-14-142,http://resolver.sub.uni-goettingen.de/,10150,UMG,UGOE-Ergänzungsfonds 2014,NA
146,Goettingen U,2014,"1475,60",BioMed Central,BMC Genomics,"von der Heyde, Silvia; Fromm-Dornieden, Carolin; Salinas-Riester, Gabriela; Beissbarth, Tim; Baumgartner, Bernhard G. (2014): Dynamics of mRNA and polysomal abundance in early 3T3-L1 adipogenesis - BMC Genomics; Vol. 15, No. 1, 381",1471-2164,10.1186/1471-2164-15-381,http://resolver.sub.uni-goettingen.de/,10147,UMG,UGOE-Ergänzungsfonds 2014,NA
147,Goettingen U,2014,"1442,28",BioMed Central,BMC Cancer,"Klingenberg, Marcel; Becker, Jürgen; Eberth, Sonja; Kube, Dieter; Wilting, Jörg (2014): The chick chorioallantoic membrane as an in vivo xenograft model for Burkitt lymphoma - BMC Cancer; Vol. 14, No. 1, 339",1471-2407,10.1186/1471-2407-14-339,http://resolver.sub.uni-goettingen.de/,10149,UMG,UGOE-Ergänzungsfonds 2014,NA
148,Goettingen U,2014,"1447,04",BioMed Central,BMC Medical Education,"Schwerdtfeger, Katrin; Wand, Saskia; Schmid, Oliver; Roessler, Markus; Quintel, Michael; Leissner, Kay B.; Russo, Sebastian G. (2014): A prospective, blinded evaluation of a video-assisted `4-stage approach´ during undergraduate student practical skills training - BMC Medical Education; Vol. 14, No. 1, 104",1472-6920,10.1186/1472-6920-14-104,http://resolver.sub.uni-goettingen.de/,10154,UMG,UGOE-Ergänzungsfonds 2014,NA
149,Goettingen U,2014,"1518,44",BioMed Central,BMC Family Practice,"Chenot, Jean-François; Hua, Thanh D; Abu Abed, Manar; Schneider-Rudt, Hannelore; Friede, Tim; Schneider, Simon; Vormfelde, Stefan V (2014): Safety relevant knowledge of orally anticoagulated patients without self-monitoring: a baseline survey in primary care - BMC Family Practice; Vol. 15, No. 1, 104",1471-2296,10.1186/1471-2296-15-104,http://resolver.sub.uni-goettingen.de/,10168,UMG,UGOE-Ergänzungsfonds 2014,NA
150,Goettingen U,2014,"1561,28",BioMed Central,Journal of Neuroinflammation,"Redlich, Sandra; Ribes, Sandra; Schütze, Sandra; Nau, Roland (2014): Palmitoylethanolamide stimulates phagocytosis of Escherichia coli K1 by macrophages and increases the resistance of mice against infections - Journal of Neuroinflammation; Vol. 11, No. 1, 108",1742-2094,10.1186/1742-2094-11-108,http://resolver.sub.uni-goettingen.de/,10430,UMG,UGOE-Ergänzungsfonds 2014,NA
151,Goettingen U,2014,"742,56",BioMed Central,Journal of Medical Case Reports ,"Günther, Lutz; Sari-Rieger, Aynur; Jablonka, Karsten; Rustemeyer, Jan (2014): Clinical course and imlications of congenital nasal pyriform stenosis an solitary median maxillary central incisor in a newborn: a case report",1752-1947,10.1186/1752-1947-8-215,http://resolver.sub.uni-goettingen.de/,10406,UMG,UGOE-Ergänzungsfonds 2014,NA
152,Goettingen U,2014,"1523,20",BioMed Central,Journal of Translational Medicine,"Mansur, Ashham; Gruben, Luisa von; Popov, Aron F.; Steinau, Maximilian; Bergmann, Ingo; Ross, Daniel; Ghadimi, Michael; Beissbarth, Tim; Bauer, Martin; Hinz, José (2014): The regulatory toll-like receptor 4 genetic polymorphism rs11536889 is associated with renal, coagulation and hepatic organ failure in sepsis patients - Journal of Translational Medicine; Vol. 12, No. 1, 177",1479-5876,10.1186/1479-5876-12-177,http://resolver.sub.uni-goettingen.de/,10433,UMG,UGOE-Ergänzungsfonds 2014,NA
153,Goettingen U,2014,"1475,60",BioMed Central,BMC Systems Biology,"der Heyde, Silvia V; Bender, Christian; Henjes, Frauke; Sonntag, Johanna; Korf, Ulrike; Beißbarth, Tim (2014): Boolean ErbB network reconstructions and perturbation simulations reveal individual drug response in different breast cancer cell lines - BMC Systems Biology; Vol. 8, No. 1, 75",1752-0509,10.1186/1752-0509-8-75,http://resolver.sub.uni-goettingen.de/,10434,UMG,UGOE-Ergänzungsfonds 2014,NA
154,Goettingen U,2014,"1513,68",BioMed Central,BMC Anesthesiology,"Janssen, Hauke; Stosch, Roland; Pöschl, Rupert; Büttner, Benedikt; Bauer, Martin; Hinz, José M.; Bergmann, Ingo (2014): Blood pressure response to combined general anaesthesia/interscalene brachial plexus block for outpatient shoulder arthroscopy - BMC Anesthesiology; Vol. 14, No. 1, 50",1471-2253,10.1186/1471-2253-14-50,http://resolver.sub.uni-goettingen.de/,10431,UMG,UGOE-Ergänzungsfonds 2014,NA
155,Goettingen U,2014,"1442,28",BioMed Central,BMC Medical Ethics  ,"Nauck, Friedemann; Becker, Matthias; King, Claudius; Radbruch, Lukas; Voltz, Raymond; Jaspers, Birgit (2014): To what extent are the wishes of a signatory reflected in their advance directive: a qualitative analysis - BMC Medical Ethics; Vol. 15, No. 1, 52",1472-6939,10.1186/1472-6939-15-52,http://resolver.sub.uni-goettingen.de/,10432,UMG,UGOE-Ergänzungsfonds 2014,NA
156,Goettingen U,2014,"1537,48",BioMed Central,World Journal of Surgical Oncology,"perling, Jens; Justinger, Christoph; Schuld, Jochen; Ziemann, Christian; Seidel, Roland; Kollmar, Otto (2014): Intrahepatic cholangiocarcinoma in a transplant liver - selective internal radiation therapy followed by right hemihepatectomy: report of a case - World Journal of Surgical Oncology; Vol. 12, No. 1, 198",1477-7819,10.1186/1477-7819-12-198,http://resolver.sub.uni-goettingen.de/,10439,UMG,UGOE-Ergänzungsfonds 2014,NA
157,Goettingen U,2014,"1513,68",BioMed Central,BMC Medical Ethics  ,"Inthorn, Julia; Wöhlke, Sabine; Schmidt, Fabian; Schicktanz, Silke (2014): Impact of gender and professional education on attitudes towards financial incentives for organ donation: results of a survey among 755 students of medicine and economics in Germany - BMC Medical Ethics; Vol. 15, No. 1, 56",1472-6939,10.1186/1472-6939-15-56,http://resolver.sub.uni-goettingen.de/,10484,UMG,UGOE-Ergänzungsfonds 2014,NA
158,Goettingen U,2014,"1523,20",BioMed Central,Journal of NeuroEngineering and Rehabilitation,"Jiang, Ning; Lorrain, Thomas; Farina, Dario (2014): A state-based, proportional myoelectric control method: online validation and comparison with the clinical state-of-the-art - Journal of NeuroEngineering and Rehabilitation; Vol. 11, No. 1, 110",1743-0003,10.1186/1743-0003-11-110,http://resolver.sub.uni-goettingen.de/,10491,BFNT/BCCN/UMG,UGOE-Ergänzungsfonds 2014,NA
159,Goettingen U,2014,"1428,00",BioMed Central,Journal of Occupational Medicine and Toxicology,"Wolf, Ingmar; Friede, Tim; Hallier, Ernst; Straube, Sebastian (2014): Work-related outcomes in randomised placebo-controlled pain trials: a systematic review and meta-analysis - Journal of Occupational Medicine and Toxicology; Vol. 9, No. 1, 25",1745-6673,10.1186/1745-6673-9-25,http://resolver.sub.uni-goettingen.de/,10483,UMG,UGOE-Ergänzungsfonds 2014,NA
160,Goettingen U,2014,"1385,16",BioMed Central,Parasites & Vectors ,"Daş, Gürbüz; Gauly, Matthias (2014): Density related effects on lifetime fecundity of Heterakis gallinarum in chickens - Parasites & Vectors; Vol. 7, No. 1, 334",1756-3305,10.1186/1756-3305-7-334,http://resolver.sub.uni-goettingen.de/,10497,Agrarwiss.,UGOE-Ergänzungsfonds 2014,NA
161,Goettingen U,2014,"1513,68",BioMed Central,BMC Medical Education,"Schiekirka, Sarah; Anders, Sven; Raupach, Tobias (2014): Assessment of two different types of bias affecting the results of outcome-based evaluation in undergraduate medical education - BMC Medical Education; Vol. 14, No. 1, 149",1472-6920,10.1186/1472-6920-14-149,http://resolver.sub.uni-goettingen.de/,10501,UMG,UGOE-Ergänzungsfonds 2014,NA
162,Goettingen U,2014,"1513,68",BioMed Central,BMC Clinical Pathology,"Lokka, Suvi; Scheel, Andreas H.; Dango, Sebastian; Schmitz, Katja; Hesterberg, Rudolf; Rüschoff, Josef; Schildhaus, Hans-Ulrich (2014): Challenging dedifferentiated liposarcoma identified by MDM2-amplification, a report of two cases - BMC Clinical Pathology; Vol. 14, No. 1, 36",1472-6890,10.1186/1472-6890-14-36,http://resolver.sub.uni-goettingen.de/,10586,UMG,UGOE-Ergänzungsfonds 2014,NA
163,Goettingen U,2014,"1518,44",BioMed Central,BMC Public Health,"Villalonga-Olives, Ester; von Steinbüchel, Nicole; Witte, Claudia; Kasten, Erich; Kawachi, Ichiro; Kiese-Himmel, Christiane (2014): Health related quality of life of immigrant children: towards a new pattern in Germany? - BMC Public Health; Vol. 14, No. 1, 790",1471-2458,10.1186/1471-2458-14-790,http://resolver.sub.uni-goettingen.de/,10776,UMG,UGOE-Ergänzungsfonds 2014,NA
164,Goettingen U,2014,"1342,32",BioMed Central,Radiation Oncology ,"Müller, Klaus; Scheithauer, Heike; Pietschmann, Sophie; Hoffmann, Marion; Rössler, Jochen; Graf, Norbert; Baumert, Brigitta G.; Christiansen, Hans; Kortmann, Rolf-Dieter; Kramm, Christof M.; von Bueren, André O. (2014): Reirradiation as part of a salvage treatment approach for progressive non-pontine pediatric high-grade gliomas: preliminary experiences from the German HIT-HGG study group - Radiation Oncology; Vol. 9, No. 1, 177",1748-717X,10.1186/1748-717X-9-177,http://resolver.sub.uni-goettingen.de/,10813,UMG,UGOE-Ergänzungsfonds 2014,NA
165,Goettingen U,2014,"1428,00",BioMed Central,BMC Bioinformatics,"Dong, Zhijie; Wang, Keyu; Linh Dang, Truong K.; Gültas, Mehmet; Welter, Marlon; Wierschin, Torsten; Stanke, Mario; Waack, Stephan (2014): CRF-based models of protein surfaces improve protein-protein interaction site predictions - BMC Bioinformatics; Vol. 15, No. 1, 277",1471-2105,10.1186/1471-2105-15-277,http://resolver.sub.uni-goettingen.de/,10762,Informatik,UGOE-Ergänzungsfonds 2014,NA
166,Goettingen U,2014,"828,24",Springer,SpringerPlus,"ohns, Jan M.; Fasshauer, Martin; Staab, Wieland; Steinmetz, Michael; Lotz, Joachim; Unterberg-Buchwald, Christina (2014): Giant bypass aneurysm, a cause of suspected cardiac mass. - SpringerPlus; Vol. 3, 433",2193-1801,10.1186/2193-1801-3-433,http://resolver.sub.uni-goettingen.de/,10853,UMG,UGOE-Ergänzungsfonds 2014,NA
167,Goettingen U,2014,"828,24",Springer,SpringerPlus,"Sohns, Jan M.; Fasshauer, Martin; Staab, Wieland; Steinmetz, Michael; Unterberg-Buchwald, Christina; Menke, Jan; Lotz, Joachim (2014): Persistent left superior vena cava detected after central venous catheter insertion. - SpringerPlus; Vol. 3, 437",2193-1801,10.1186/2193-1801-3-437,http://resolver.sub.uni-goettingen.de/,10851,UMG,UGOE-Ergänzungsfonds 2014,NA
168,Goettingen U,2014,"1442,28",BioMed Central,BMC Cancer,"Krone, Bernd; Kölmel, Klaus F.; Grange, John M. (2014): The biography of the immune system and the control of cancer: from St Peregrine to contemporary vaccination strategies - BMC Cancer; Vol. 14, No. 1, 595",1471-2407,10.1186/1471-2407-14-595,http://resolver.sub.uni-goettingen.de/,10637,UMG,UGOE-Ergänzungsfonds 2014,NA
169,Goettingen U,2014,"1513,68",BioMed Central,BMC Evolutionary Biology ,"Liedigk, Rasmus; Roos, Christian; Brameier, Markus; Zinner, Dietmar (2014): Mitogenomics of te Old World monkey tribe Papionini",1471-2148,10.1186/s12862-014-0176-1,http://resolver.sub.uni-goettingen.de/,11615,DPZ,UGOE-Ergänzungsfonds 2014,NA
170,Goettingen U,2014,"1523,20",BioMed Central,Journal of NeuroEngineering and Rehabilitation,"Dosen, Strahinja; Schaeffer, Marie-Caroline; Farina, Dario (2014): Time-division multiplexing for myoelectric closed-loop control using electrotactile feedback - Journal of NeuroEngineering and Rehabilitation; Vol. 11, No. 1, 138",1743-0003,10.1186/1743-0003-11-138,http://resolver.sub.uni-goettingen.de/,10936,BFNT/BCCN/UMG,UGOE-Ergänzungsfonds 2014,NA
171,Goettingen U,2014,"1523,20",BioMed Central,BMC Infectious Diseases ,"Amanzada, Ahmad; Goralczyk, Armin D.; Reinhardt, Lars; Moriconi, Federico; Cameron, Silke; Mihm, Sabine (2014): Erythropoietin rs1617640 G allele associates with an attenuated rise of serum erythropoietin and a marked decline of hemoglobin in hepatitis C patients undergoing antiviral therapy - BMC Infectious Diseases; Vol. 14, No. 1, 503",1471-2334,10.1186/1471-2334-14-503,http://resolver.sub.uni-goettingen.de/,10886,UMG,UGOE-Ergänzungsfonds 2014,NA
172,Goettingen U,2014,"1508,92",BioMed Central,BMC Palliative Care  ,"Erlenwein, Joachim; Geyer, Almut; Schlink, Julia; Petzke, Frank; Nauck, Friedemann; Alt-Epping, Bernd (2014): Characteristics of a palliative care consultation service with a focus on pain in a German university hospital - BMC Palliative Care; Vol. 13, No. 1, 45",1472-684X,10.1186/1472-684X-13-45,http://resolver.sub.uni-goettingen.de/,10932,UMG,UGOE-Ergänzungsfonds 2014,NA
173,Goettingen U,2014,"828,24",Springer,SpringerPlus,"Bremmer, Felix; Jarry, Hubertus; Strauß, Arne; Behnes, Carl Ludwig; Trojan, Lutz; Thelen, Paul (2014): Increased expression of CYP17A1 indicates an effective targeting of the androgen receptor axis in castration resistant prostate cancer (CRPC). - SpringerPlus; Vol. 3, 574",2193-1801,10.1186/2193-1801-3-574,http://resolver.sub.uni-goettingen.de/,11151,UMG,UGOE-Ergänzungsfonds 2014,NA
174,Goettingen U,2014,"1746,92",BioMed Central,Agriculture & Food Security ,"Klatt, Björn K; Klaus, Felix; Westphal, Catrin; Tscharntke, Teja (2014): Enhancing crop shelf life with pollination - Agriculture & Food Security; Vol. 3, No. 1, 14",2048-7010,10.1186/2048-7010-3-14,http://resolver.sub.uni-goettingen.de/,10986,Agrarwiss.,UGOE-Ergänzungsfonds 2014,NA
175,Goettingen U,2014,"828,24",Springer,SpringerPlus,"Sohns, Jan M.; Steinmetz, Michael; Schneider, Heike; Fasshauer, Martin; Staab, Wieland; Kowallick, Johannes Tammo; Schuster, Andreas; Ritter, Christian; Lotz, Joachim; Unterberg-Buchwald, Christina (2014): Situs inversus totalis with congenitally corrected transposition of the great arteries: insights from cardiac MRI. - SpringerPlus; Vol. 3, 601",2193-1801,10.1186/2193-1801-3-601,http://resolver.sub.uni-goettingen.de/,11150,UMG,UGOE-Ergänzungsfonds 2014,NA
