"APC paid (actual currency) including VAT if charged","APC paid (£) including VAT (calculated)","APC paid (£) including VAT if charged","Currency of APC",DOI,"Date of APC payment","Date of initial application by author",ISSN0,Institution,Journal,Licence,"PubMed Central (PMC) ID","PubMed ID",Publisher,"TCO year","Type of publication",Drop?,"Year of publication","Article title"
536.4,536.4,536.4,GBP,"","",2015-12-01,0142-5692,"Northumbria University","British Journal of Sociology of Education","","","","Informa UK Limited",2015,"Journal Article/Review",1,"","The Odyssey: School to Work Transitions, Serendipity and Position in the Field"
1425,990,990,USD,"","",2015-12-09,1662-5161,"Northumbria University","Frontiers in Human Neuroscience","CC BY","","","Frontiers Media SA",2015,"Journal Article/Review",1,"","Dissociation between semantic representations for motion and action verbs: Evidence from patients with left hemisphere lesions"
3480.91,2930.47,2930.47,EUR,"",2015-12-15,2015-11-20,0959-437X,"Queen Mary, University of London","Current Opinion in Genetics and Development","CC BY","","","Elsevier BV",2015,"Journal Article/Review",1,"","Genome Size Diversity in Angiosperms and its Influence on Gene Space"
1164.5,0,0,GBP,"",2015-10-24,2015-03-29,1471-2334,"Queen Mary, University of London","BMC Infectious Diseases","","","","Springer Nature",2015,"Journal Article/Review",1,"","Rotavirus-associated mild encephalopathy with a reversible splenial lesion (MERS) – case report and review of the literature"
1989,1989,1989,GBP,"",2015-11-19,2015-11-13,0017-5749,"Queen Mary, University of London",Gut,"","","",BMJ,2015,"Journal Article/Review",1,"","Evolution of oesophageal adenocarcinoma from metaplastic columnar epithelium­­ without goblet cells in Barrett’s oesophagus"
13200,13200,13200,GBP,"",2015-03-06,2015-02-10,-,"Queen Mary, University of London",Monograph,"CC BY","","","Informa UK Limited",2015,Book,1,2015,"A History of Self-Harm in Britain: A Genealogy of Cutting and Overdosing"
1500,1500,1500,GBP,"",2015-11-26,2015-11-20,1932-7005,"Queen Mary, University of London","Journal of Tissue Engineering and Regenerative Medicine","CC BY","","",Wiley-Blackwell,2015,"Journal Article/Review",1,"","Bioenergetic Re-Programming of Articular Chondrocytes by Exposure to Exogenous and Endogenous Reactice Oxygen Species and its Role in the Anabolic Responses To Low Oxygen"
1429.94,1429.94,1429.94,GBP,"",2015-11-30,2015-10-28,"","Queen Mary, University of London","Review of Scientific Instruments","CC BY","","","AIP Publishing",2015,"Journal Article/Review",1,"","Dynamic nozzles for drop generators"
5000,0,0,USD,"",2015-12-08,2015-11-13,1520-5207,"Queen Mary, University of London","The Journal of Physical Chemistry Part B","CC BY","","","American Chemical Society (ACS)",2015,"Journal Article/Review",1,"","Effects of Lipid Composition on Bilayer Membranes Quantified by All-Atom Molecular Dynamics"
2409.864,1724.41,1724.41,EUR,"",2015-11-20,2015-10-22,"","Queen Mary, University of London","Osteoarthritis and Cartilage","CC BY","","","Elsevier BV",2015,"Journal Article/Review",1,"","IFT88 influences chondrocyte actin organization and biomechanics"
1788,1609.2,1609.2,GBP,"",2015-09-25,2014-11-24,0929-8215,"Queen Mary, University of London","Journal of New Music Research","","","","Informa UK Limited",2015,"Journal Article/Review",1,"","A Low-Cost Real-Time Tracking System for Violin"
1500,1500,1500,GBP,"",2015-12-03,2015-11-09,0306-5251,"Queen Mary, University of London","British Journal of Clinical Pharmacology","","","",Wiley-Blackwell,2015,"Journal Article/Review",1,"","P2Y12 Receptor Blockade Synergises Strongly with Nitric Oxide and Prostacyclin to Inhibit Platelet Activation"
1188,1188,1188,GBP,"",2015-11-23,2015-10-22,2045-2322,"Queen Mary, University of London","Scientific Reports","","","","Springer Nature",2015,"Journal Article/Review",1,"","crystal structure of cobk revels strand-swapping between rossmann-fold domains and molecular basis of the reduced precorrin product trap"
2040,2040,2040,GBP,"",2015-12-16,2015-08-17,2040-8978,"Queen Mary, University of London","Journal of Optics",Unknown,"","","IOP Publishing",2015,"Journal Article/Review",1,"","Infinite Maxwell fisheye as a complement for an imaging device"
450,345.64,345.64,EUR,"",2015-02-17,2015-02-04,1994-4136,"Queen Mary, University of London","Myrmecological News","","","","Osterreichische Gesellschaft für Entomofaunistik",2015,"Journal Article/Review",1,2015,"Ant genomics (Hymenoptera: Formicidae): challenges to overcome and opportunities to seize"
2100,1382.48,1382.48,USD,"",2015-10-19,2015-10-02,1536-1276,"Queen Mary, University of London","IEEE Transactions on Wireless Communications","CC BY","","","Institute of Electrical and Electronics Engineers (IEEE)",2015,"Journal Article/Review",1,"","Data-assisted low complexity compressive spectrum sensing on real-time signals under sub-nyquist rate"
"",1500,1500,"","",2015-11-24,2015-10-22,0950-3471,"Royal Holloway","Historical Research","CC BY","","",Wiley-Blackwell,2015,"Journal Article/Review",0,"","You know I am all on fire': writing the adulterous affair in England c. 1740-1830"
3508.16,2635.78,2635.78,EUR,"",2015-03-30,2015-03-12,0020-7403,"Swansea University","International Journal of Mechanical Sciences ","CC BY","","","Elsevier BV",2015,"",0,2015,"Non-linear energy harvesting from coupled impacting beams "
2400,2400,2400,GBP,"",2015-06-01,2015-03-11,"",UCL,"Built Environment","","","","Alexandrine Press",2015,"Journal Article/Review",0,"","Professor Sir Peter Hall: Role Model [whole special issue]"
3000,2387.17,2387.17,USD,"",2015-11-25,2015-10-30,"",UCL,"Journal of Immunology","","","","American Association of Immunologists (AAI)",2015,"Journal Article/Review",0,"","Synovial Regulatory T Cells Occupy a Discrete TCR Niche in Human Arthritis and Require Local Signals to Stabilize FOXP3 Protein Expression"
4000,2628.67,2628.67,USD,"",2015-11-18,2015-11-09,"",UCL,"Molecular Pharmaceutics","","","","American Chemical Society (ACS)",2015,"Journal Article/Review",0,"","Development and Characterization of Amorphous Nanofiber Drug Dispersions Prepared Using Pressurized Gyration"
2000,1313.59,1313.59,USD,"",2015-10-07,2015-09-29,"",UCL,"Journal of Physical Chemistry C","","","","American Chemical Society (ACS)",2015,"Journal Article/Review",0,"","Photo-induced Br Desorption from CsBr Thin Films Grown on Cu(100)"
4500,3589.57,3589.57,USD,"",2015-12-17,2015-11-17,"",UCL,"Arteriosclerosis, Thrombosis, and Vascular Biology","","","","American Heart Association",2015,"Journal Article/Review",0,"","Myeloid-derived VEGF and HIF are dispensable for ocular neovascularisation"
2200,1455.1,1455.1,USD,"",2015-11-11,2015-11-06,"",UCL,"Applied Physics Letters","","","","AIP Publishing",2015,"Journal Article/Review",0,"","A laboratory based edge-Illumination x-ray phase-contrast imaging setup with two-directional sensitivity"
1700,1119.14,1119.14,USD,"",2015-10-07,2015-10-02,"",UCL,"Physical Review X","","","","American Physical Society (APS)",2015,"Journal Article/Review",0,"","Dynamical-decoupling based quantum sensing: Floquet spectroscopy"
1700,1108.48,1108.48,USD,"",2015-10-28,2015-10-15,"",UCL,"Physical Review X","","","","American Physical Society (APS)",2015,"Journal Article/Review",0,"","Nonequilibrium phase transition in a two-dimensional driven open quantum system"
2000,1587.01,1587.01,USD,"",2015-12-02,2015-10-29,"",UCL,"AJP Heart and Circulatory Physiology","","","","American Physiological Society",2015,"Journal Article/Review",0,"","Effect of autonomic blocking agents on the respiratory related oscillations of ventricular action potential duration in humans"
2000,1305.35,1305.35,USD,"",2015-11-25,2015-10-27,"",UCL,"Journal of Neurophysiology","","","","American Physiological Society",2015,"Journal Article/Review",0,"","A geometric model of defensive peripersonal space"
2000,1603.11,1603.11,USD,"",2015-12-16,2015-12-01,"",UCL,"Journal of Biological Chemistry","","","","American Society for Biochemistry & Molecular Biology (ASBMB)",2015,"Journal Article/Review",0,"","DISC1-dependent Regulation of Mitochondrial Dynamics Controls the Morphogenesis of Complex Neuronal Dendrites"
5030,3935.77,3935.77,USD,"",2015-10-14,2015-09-16,"",UCL,"American Journal of Clinical Nutrition","","","","American Society for Nutrition (ASN)",2015,"Journal Article/Review",0,"","WHO guidelines for a healthy diet and mortality from cardiovascular disease in European and American elderly: the CHANCES project"
700,462.88,462.88,USD,"",2015-12-02,2015-11-25,"",UCL,"POPL '16: The 43rd Annual ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages","","","","Association for Computing Machinery (ACM)",2015,"Journal Article/Review",0,"","Model checking for symbolic-heap separation logic with inductive predicates"
1890,1492.33,1492.33,USD,"",2015-06-03,2015-05-28,"",UCL,"Journal of Vision","","","","Association for Research in Vision and Ophthalmology (ARVO)",2015,"Journal Article/Review",0,"","Changes in apparent duration follow shifts in…"
1470,961.69,961.69,USD,"",2015-12-09,2015-11-19,"",UCL,"Journal of Vision","","","","Association for Research in Vision and Ophthalmology (ARVO)",2015,"Journal Article/Review",0,"","The effect of blur on cortical responses to global form and motion"
1550.4,1550.4,1550.4,GBP,"",2015-12-22,2015-12-11,"",UCL,"Journal of Neurodevelopmental Disorders","","","","Springer Nature",2015,"Journal Article/Review",0,"","Route knowledge and configural knowledge in typical and atypical development: a comparison of sparse and rich environments"
1397.4,1397.4,1397.4,GBP,"",2015-12-17,2015-03-30,"",UCL,"BMC Cancer","","","","Springer Nature",2015,"Journal Article/Review",0,"","Cumulative Social Risk Exposure and Risk of Cancer Mortality in Adulthood"
1397.4,1397.4,1397.4,GBP,"",2015-12-23,2015-02-20,"",UCL,"BMC Obesity","","","","Springer Nature",2015,"Journal Article/Review",0,"","Self-reported sleep quality, weight status and depression in young adult twins and siblings"
1351.5,1351.5,1351.5,GBP,"",2015-10-12,2014-11-07,"",UCL,"BMC Medical Research Methodology","","","","Springer Nature",2015,"Journal Article/Review",0,"","Discrimination-based sample size calculations for multivariable prognostic models for time-to-event data"
708.9,708.9,708.9,GBP,"",2015-10-27,2015-07-07,"",UCL,"Heritage Science","","","","Springer Nature",2015,"Journal Article/Review",0,"","Damage Function for Historic Paper. Part I: Fitness for Use"
708.9,708.9,708.9,GBP,"",2015-12-23,2015-07-07,"",UCL,"Heritage Science","","","","Springer Nature",2015,"Journal Article/Review",0,"","Damage Function for Historic Paper. Part III: Isochrones and demography of collections"
693.6,693.6,693.6,GBP,"",2015-12-14,2015-04-10,"",UCL,"Journal of Medical Case Reports","","","","Springer Nature",2015,"Journal Article/Review",0,"","Erythema nodosum as a result of oestrogen patch therapy for prostate cancer: a case report"
1805.4,1805.4,1805.4,GBP,"",2015-11-10,2015-07-27,"",UCL,"Genome Medicine","","","","Springer Nature",2015,"Journal Article/Review",0,"","A donor-specific epigenetic biomarker for acute graft-versus-host disease severity in hematopoietic stem cell transplantation"
1698.3,1698.3,1698.3,GBP,"",2015-10-20,2015-07-17,"",UCL,"BMC Medicine","","","","Springer Nature",2015,"Journal Article/Review",0,"","Role of healthcare workers in early epidemic spread of Ebola: policy implications of prophylactic compared to reactive vaccination policy in outbreak prevention and control"
1698.3,1698.3,1698.3,GBP,"",2015-12-16,2015-12-02,"",UCL,"BMC Medicine","","","","Springer Nature",2015,"Journal Article/Review",0,"","Evidence for the Free Radical/Oxidative Stress Theory of Ageing from the CHANCES consortium: A meta-analysis of individual participant data"
1397.4,1397.4,1397.4,GBP,"",2015-12-22,2015-07-06,"",UCL,"BMC Public Health","","","","Springer Nature",2015,"Journal Article/Review",0,"","Girls’ explanations for being unvaccinated or under vaccinated against human papillomavirus: A content analysis of survey responses"
1397.4,1397.4,1397.4,GBP,"",2015-10-01,2015-05-05,"",UCL,"BMC Public Health","","","","Springer Nature",2015,"Journal Article/Review",0,"","Understanding low colorectal cancer screening uptake in South Asian faith communities in England: a qualitative study"
1397.4,1397.4,1397.4,GBP,"",2015-10-05,2014-12-19,"",UCL,"BMC Medical Research Methodology","","","","Springer Nature",2015,"Journal Article/Review",0,"","Sample selection, recruitment and participation rates in health examination surveys in Europe – experience from seven national surveys"
1805.4,1805.4,1805.4,GBP,"",2015-10-05,2015-07-03,"",UCL,"Genome Medicine","","","","Springer Nature",2015,"Journal Article/Review",0,"","HOTAIR and its Surrogate DNA Methylation Signature indicate Carboplatin Resistance in Ovarian Cancer"
708.9,708.9,708.9,GBP,"",2015-10-09,2015-10-08,"",UCL,"Crime Science","","","","Springer Nature",2015,"Journal Article/Review",0,"","Child Sexual Abuse and the Law in India: A Comment"
1397.4,1397.4,1397.4,GBP,"",2015-10-14,2015-03-09,"",UCL,"BMC Pregnancy and Childbirth","","","","Springer Nature",2015,"Journal Article/Review",0,"","“Why not bathe the baby today?”: A qualitative study of thermal care beliefs and practices in four African sites"
1397.4,1397.4,1397.4,GBP,"",2015-10-15,2015-06-23,"",UCL,Trials,"","","","Springer Nature",2015,"Journal Article/Review",0,"","The three stages of building and testing mid-level theories in a realist RCT: a case-example"
1397.4,1397.4,1397.4,GBP,"",2015-10-15,2015-07-30,"",UCL,"BMC Geriatrics","","","","Springer Nature",2015,"Journal Article/Review",0,"","Smoking as a predictor of frailty: a systematic review"
1698.3,1698.3,1698.3,GBP,"",2015-10-16,2015-03-20,"",UCL,"Arthritis Research and Therapy","","","","Springer Nature",2015,"Journal Article/Review",0,"","Impaired function of endothelial progenitor cells in children with primary systemic vasculitis"
1397.4,1397.4,1397.4,GBP,"",2015-10-19,2015-03-23,"",UCL,"BMC Palliative Care","","","","Springer Nature",2015,"Journal Article/Review",0,"","UK quality statements on end of life care in dementia: a systematic review of research evidence"
1596.3,1596.3,1596.3,GBP,"",2015-10-19,2015-08-17,"",UCL,"Systematic Reviews","","","","Springer Nature",2015,"Journal Article/Review",0,"","Identifying the content of home-based health behaviour change interventions for frail older people: A systematic review protocol"
1596.3,1596.3,1596.3,GBP,"",2015-10-27,2015-09-21,"",UCL,"Systematic Reviews","","","","Springer Nature",2015,"Journal Article/Review",0,"","Protocol for systematic review of evidence on the determinants and influence of early glycaemic control in childhood onset type 1 diabetes"
1397.4,1397.4,1397.4,GBP,"",2015-11-19,2015-07-08,"",UCL,"BMC Sports Science, Medicine and Rehabilitation","","","","Springer Nature",2015,"Journal Article/Review",0,"","Can previously sedentary females use the Feeling Scale to regulate exercise intensity in a gym environment? An Observational Study"
1397.4,1397.4,1397.4,GBP,"",2015-11-30,2015-09-08,"",UCL,"BMC Infectious Diseases","","","","Springer Nature",2015,"Journal Article/Review",0,"","A novel approach to evaluating the UK childhood immunisation schedule: estimating the effective coverage vector across the entirevaccine programme"
1397.4,1397.4,1397.4,GBP,"",2015-12-02,2014-12-17,"",UCL,"BMC Psychiatry","","","","Springer Nature",2015,"Journal Article/Review",0,"","Enabling people, not completing tasks: Patient perspectives on relationships and staff morale in mental health wards in England"
1397.4,1397.4,1397.4,GBP,"",2015-12-18,2015-12-09,"",UCL,"BMC Pregnancy and Childbirth","","","","Springer Nature",2015,"Journal Article/Review",0,"","Facility-based delivery in the context of Zimbabwe's HIV epidemic - missed opportunities for improving engagement with care: a community-based serosurvey"
1596.3,0,0,GBP,"",2015-12-28,2015-12-18,"",UCL,"Molecular Autism","","","","Springer Nature",2015,"Journal Article/Review",0,"","Social communication and emotion difficulties and second to fourth digit ratio in a large community-based cohort"
1397.4,1397.4,1397.4,GBP,"",2015-12-29,2015-03-23,"",UCL,"BMC Psychiatry","","","","Springer Nature",2015,"Journal Article/Review",0,"","Pharmacological interventions for challenging behaviour in children with intellectual disabilities: a systematic review and meta-analysis"
1989,1989,1989,GBP,"",2015-06-15,2015-09-24,"",UCL,"Journal of Neurology, Neurosurgery and Psychiatry","","","",BMJ,2015,"Journal Article/Review",0,"","Genetic neurological channelopathies: molecular genetics and clinical phenotypes"
1989,1989,1989,GBP,"",2015-10-23,2015-10-23,"",UCL,"Journal of Neurology, Neurosurgery and Psychiatry","","","",BMJ,2015,"Journal Article/Review",0,"","The habenula: an under-recognised area of importance in frontotemporal dementia?"
1989,1989,1989,GBP,"",2015-12-06,2015-12-07,"",UCL,"Sexually Transmitted Infections","","","",BMJ,2015,"Journal Article/Review",0,"","""It pains me because as a woman you have to breastfeed your baby"": decision-making about infant feeding among African women living with HIV in the U"
1989,1989,1989,GBP,"",2015-11-17,2015-11-18,"",UCL,"Journal of Epidemiology and Community Health","","","",BMJ,2015,"Journal Article/Review",0,"","Work-family life courses and metabolic markers in mid-life: Evidence from the British National Child Development Study"
1734,1734,1734,GBP,"",2015-12-03,2015-12-14,"",UCL,"Open Heart","","","",BMJ,2015,"Journal Article/Review",0,"","The relationship between affective symptoms and hypertension-- role of the labelling effect: the 1946 British birth cohort"
1377,1377,1377,GBP,"",2015-12-03,2015-12-04,"",UCL,"BMJ Open","","","",BMJ,2015,"Journal Article/Review",0,"","Leisure-time physical activity and subsequent physical and mental health functioning among midlife Finnish, British and Japanese employees – a follow-up study in three occupational cohorts"
1989,1989,1989,GBP,"",2015-11-27,2015-12-02,"",UCL,Heart,"","","",BMJ,2015,"Journal Article/Review",0,"","Associations between polymyalgia rheumatica and giant cell arteritis and twelve cardiovascular diseases"
1989,1989,1989,GBP,"",2015-11-22,2015-12-04,"",UCL,"Journal of Medical Genetics","","","",BMJ,2015,"Journal Article/Review",0,"","Improving diagnosis and broadening the phenotypes in early onset seizure and severe developmental delay disorders through gene panel analysis"
1377,1377,1377,GBP,"",2015-11-27,2015-12-01,"",UCL,"BMJ Open","","","",BMJ,2015,"Journal Article/Review",0,"","The Burden of Poor Oral Health in Older Age: Findings from a Population-based Study of Older British Men"
1657.5,1989,1989,GBP,"",2015-11-27,2015-11-27,"",UCL,"Journal of Neurology, Neurosurgery and Psychiatry","","","",BMJ,2015,"Journal Article/Review",0,"","A novel use of Arterial Spin Labelling MRI to demonstrate focal hypoperfusion in individuals with posterior cortical atrophy: a multi-modal imaging study"
1989,1989,1989,GBP,"",2015-12-14,2015-04-01,"",UCL,"Journal of Epidemiology and Community Health","","","",BMJ,2015,"Journal Article/Review",0,"","Formative evaluation of a participatory women’s groups intervention on reproductive and women’s health outcomes in rural Bangladesh: a controlled before and after study"
1989,1989,1989,GBP,"",2015-12-11,2015-12-14,"",UCL,"Journal of Neurology, Neurosurgery and Psychiatry","","","",BMJ,2015,"Journal Article/Review",0,"","The pre-diagnostic phase of Parkinson's Disease"
1989,1989,1989,GBP,"",2015-11-12,2015-09-25,"",UCL,Heart,"","","",BMJ,2015,"Journal Article/Review",0,"","Reducing myocardial infarct size: Challenges and future opportunities"
1989,1989,1989,GBP,"",2015-11-19,2015-11-25,"",UCL,Thorax,"","","",BMJ,2015,"Journal Article/Review",0,"","Lung function and airway obstruction: associations with circulating markers of cardiac function and incident heart failure in older men: The British Regional Heart Study"
1734,1734,1734,GBP,"",2015-12-09,2015-12-09,"",UCL,"Open Heart","","","",BMJ,2015,"Journal Article/Review",0,"","A propensity matched comparison of return to work and quality of life after stenting or coronary artery bypass surgery"
1377,1377,1377,GBP,"",2015-10-12,2015-10-15,"",UCL,"BMJ Open","","","",BMJ,2015,"Journal Article/Review",0,"","Protocol for a process-oriented qualitative evaluation of the Waltham Forest and East London Collaborative (WELC) integrated care pioneer programme using the Researcher-in-Residence model"
1377,1377,1377,GBP,"",2015-10-22,2015-11-11,"",UCL,"BMJ Open","","","",BMJ,2015,"Journal Article/Review",0,"","Achieving Change in Primary Care - Effectiveness of Strategies for Improving Implementation of Complex Interventions: Systematic Reviews of Reviews"
1377,1377,1377,GBP,"",2015-10-26,2015-10-26,"",UCL,"BMJ Open","","","",BMJ,2015,"Journal Article/Review",0,"","Potential economic consequences of a cardioprotective agent for patients with myocardial infarction: modelling study"
1377,1377,1377,GBP,"",2015-11-02,2015-11-03,"",UCL,"BMJ Open","","","",BMJ,2015,"Journal Article/Review",0,"","Identifying research priorities in Anaesthesia and Perioperative Care: final report of the joint National Institute of Academic Anaesthesia / James Lind Alliance Research Priority Setting Partnership"
1377,1377,1377,GBP,"",2015-11-17,2015-11-17,"",UCL,"BMJ Open","","","",BMJ,2015,"Journal Article/Review",0,"","A qualitative investigation of patients’ experience of a glaucoma virtual clinic in a specialist ophthalmic hospital in London, United Kingdom"
1377,1377,1377,GBP,"",2015-11-23,2015-11-23,"",UCL,"BMJ Open","","","",BMJ,2015,"Journal Article/Review",0,"","Outcomes of domestic violence screening at an acute London trust: are there missed opportunities for intervention?"
1377,1377,1377,GBP,"",2015-12-11,2015-12-17,"",UCL,"BMJ Open","","","",BMJ,2015,"Journal Article/Review",0,"","Trends in incidence, prevalence and prescribing in type 2 diabetes mellitus between 2000-2013 in primary care: a retrospective cohort study"
1450,1222.27,1222.27,EUR,"",2015-11-02,2015-01-05,"",UCL,Viator,"","","","Brepols Publishers",2015,"Journal Article/Review",0,"","Of alle the knottes that I see / I prese the knot in Trinite”: Trinitarian Iconography in the Middle English Lyric, An aungell fro heuen gan lyth’"
1995,1772.54,1772.54,EUR,"",2015-10-14,2015-08-03,"",UCL,"Hague Journal of Diplomacy","","","",Brill,2015,"Journal Article/Review",0,"","Theorizing a more-than-human diplomacy: assembling the British Foreign Office, 1839-1874"
2160,2160,2160,GBP,"",2015-10-30,2015-09-25,"",UCL,"Bone & Joint Journal","","","","British Editorial Society of Bone and Joint Surgery",2015,"Journal Article/Review",0,"","Are metal-on-metal hip revision operations contributing to NJR implant survival curves? A study using the London Implant Retrieval Centre and National Joint Registry datasets"
1740,1740,1740,GBP,"",2015-11-12,2015-09-15,"",UCL,Mathematika,"","","","Cambridge University Press (CUP)",2015,"Journal Article/Review",0,"","Spectral theoretic characterization of the massless Dirac action"
2000,1566.35,1566.35,USD,"",2015-10-14,2015-07-03,"",UCL,"Learning and Memory","","","","Cold Spring Harbor Laboratory Press",2015,"Journal Article/Review",0,"","Sleep enhances a spatially-mediated generalisation of learned values"
4500,2915.26,2915.26,USD,"",2015-10-21,2015-09-22,"",UCL,Development,"","","","Company of Biologists",2015,"Journal Article/Review",0,"","Opposing Shh and Fgf signals initiate nasotemporal patterning of the retina"
1350,1162.21,1162.21,EUR,"",2015-11-04,2015-03-19,"",UCL,"Atmospheric Measurement Techniques","","","","Copernicus GmbH",2015,"Journal Article/Review",0,"","Synergy of stereo cloud top height and ORAC optimal estimation cloud retrieval: evaluation and application to AATSR"
450,387.41,387.41,EUR,"",2015-11-04,2015-10-27,"",UCL,"Annales Geophysicae","","","","Copernicus GmbH",2015,"Journal Article/Review",0,"","A Physical Explanation for the Magnetic Decrease ahead of Dipolarization Fronts"
1758,1758,1758,GBP,"",2015-11-23,2015-11-16,"",UCL,"International Journal of Nanomedicine","","","","Dove Medical Press Ltd.",2015,"Journal Article/Review",0,"","Hyperthermia treatment of tumors by mesenchymal stem cell delivered superparamagnetic iron oxide nanoparticles"
350,350,350,GBP,"",2015-08-27,2015-08-03,"",UCL,"Journal of Global Health","","","","Edinburgh University Press",2015,"Journal Article/Review",0,"","Good Medical Practice in a time of chronic disease: time to retrace our steps?"
6000,3925.27,3925.27,USD,"",2015-11-25,2015-10-05,"",UCL,"Lancet Neurology","","","","Elsevier BV",2015,"Journal Article/Review",0,"","MRI biomarker assessment of neuromuscular disease progression: a prospective observational cohort study"
6000,3915.91,3915.91,USD,"",2015-10-14,2015-09-08,"",UCL,"Lancet Infectious Diseases","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Abacavir, zidovudine or stavudine as 'baby pills' for African HIV-infected children: the CHAPAS-3 randomised controlled trial"
2487.6,2487.6,2487.6,EUR,"",2015-11-30,2015-11-18,"",UCL,"Social Science & Medicine","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Socioeconomic conditions across life related to multiple measures of the endocrine system in older adults: longitudinal findings from a British birth cohort study"
2332.8,2332.8,2332.8,EUR,"",2015-11-30,2015-11-02,"",UCL,"European Urology Focus","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Estimating the impact of Randomised Control Trial results on clinical practice: results from a survey and modelling study of androgen deprivation therapy plus radiotherapy for locally advanced prostate cancer"
3213.14,2280.68,2280.68,EUR,"",2015-11-18,2015-11-11,"",UCL,"Neurobiology of Aging","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Genome-wide analysis of genetic correlation in Dementia with Lewy Bodies, Parkinson’s and Alzheimer’s diseases"
5000,3990.17,3990.17,USD,"",2015-12-02,2015-10-05,"",UCL,"Cell Reports","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Inactivation of the class II PI3K-C2<beta> potentiates insulin signaling and sensitivity"
1942.8,1942.8,1942.8,EUR,"",2015-11-30,2015-11-04,"",UCL,"Diamond & Related Materials","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Solvent–surface interactions between nanodiamond and ethanol studied with in situ infrared spectroscopy"
1710,1710,1710,EUR,"",2015-11-30,2015-11-10,"",UCL,"Free Radical Biology and Medicine","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Phytoestrogens modulate hepcidin expression by Nrf2: Implication for dietary control of iron absorption"
4462.7,3267.68,3267.68,EUR,"",2015-10-21,2015-10-12,"",UCL,Neuron,"","","","Elsevier BV",2015,"",0,"","Time-resolved imaging reveals heterogeneous landscapes of nanomolar Ca2+ in neurons and astroglia"
1399.2,1399.2,1399.2,EUR,"",2015-11-30,2015-11-10,"",UCL,Genomics,"","","","Elsevier BV",2015,"Journal Article/Review",0,"","The Sequence of Sequencers: The History of Sequencing DNA"
1936.7,1430.93,1430.93,EUR,"",2015-10-07,2015-09-30,"",UCL,"Journal of Neuroscience Methods","","","","Elsevier BV",2015,"Journal Article/Review",0,"","In vivo imaging of axonal transport in murine motor and sensory neurons"
6000,0,0,USD,"",2015-11-25,2015-11-09,"",UCL,"Lancet Oncology","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Adding docelaxel or biophosphonales to standard-of-care men with licensed or melastatic hormone-sensitive prostate cancer; a systematice review and meta-analyses of aggregate data"
6000,3986.19,3986.19,USD,"",2015-11-11,2015-10-26,"",UCL,"Lancet Diabetes & Endocrinology","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Plasma urate and coronary heart disease: Mendelian randomisation analysis"
4462.7,3138.34,3138.34,EUR,"",2015-11-25,2015-11-03,"",UCL,"Current Biology","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Energy efficient information transfer by visual pathway synapses"
2520,2520,2520,GBP,"",2015-11-09,2015-07-16,"",UCL,"Journal of Investigative Dermatology","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Lentiviral engineered fibroblasts expressing codon optimized COL7A1 restore anchoring fibrils in RDEB"
3480.91,2437.22,2437.22,EUR,"",2015-11-25,2015-11-19,"",UCL,"Trends in Cognitive Sciences","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Mood as representation of momentum"
3213.14,2317.83,2317.83,EUR,"",2015-12-16,2015-12-01,"",UCL,"European Urology","","","","Elsevier BV",2015,"Journal Article/Review",0,"","A randomised comparison evaluating changes in bone mineral density in advanced prostate cancer: Luteinising hormone-releasing hormone agonists versus transdermal oestradiol"
3227.83,2279.11,2279.11,EUR,"",2015-11-11,2015-10-30,"",UCL,"Progress in Neurobiology","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Active interference homoestatic regulation and adaptive behaviour"
2945.38,2090.88,2090.88,EUR,"",2015-12-09,2015-11-27,"",UCL,"Cell Calcium","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Endoplasmic reticulum and lysosomal Ca2+ stores are remodelled in GBA1â€“linked Parkinson disease patient fibroblasts"
2677.62,1941.52,1941.52,EUR,"",2015-12-16,2015-12-02,"",UCL,"American Journal of Human Genetics","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Autosomal dominant corneal endothelial dystrophies CHED1 and PPCD1 are allelic disorders caused by non-coding mutations in the promoter of OVOL2"
2356.31,1653.38,1653.38,EUR,"",2015-11-25,2015-11-03,"",UCL,"Advances in Biological Regulation","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Time-resolved FRET reports FGFR1 dimerization and formation of a complex with its effector PLC?1"
2231.35,1572.56,1572.56,EUR,"",2015-12-09,2015-11-25,"",UCL,"Journal of Reproductive Immunology","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Cervical leukocytes and spontaneous preterm birth"
